orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
3967,animal kingdom is better than the town and winters bonei have just seen animal kingdom and wow what an awesome movie it was,animal kingdom is easily the best film ive seen this year and i see anything worth seeing and certainly one of my personal favourites,1,Support,C,0,1,0,
2659,no id does not claim the designer is human like but since humans are the only known intelligence that is the only thing they have to compare id to,science is testable,0,Attack,C,0,0,1,
776,"UKIP are just another bunch of freeloaders, using peoples fears and prejudice to gain votes so that they can get their snouts into the trough.","While it was easy to accuse the Commission of waste, he said nearly 95% of the Budget was spent directly in the member states.",2,No Relation,C,0,0,1,
3373, evolution is defined in wikipedia as a change in the inherited traits of a population from one generation to the next, well evolution is by far the most logical idea i have heard about where man came from,1,Support,C,0,1,0,
3035,i do not believe in science,all this is hard to understand,0,Attack,C,0,0,1,
2617,and again the design inference is based on our current knowledge that being we have an understanding of what nature operating freely is capable of and we couple that with our knowledge of what designing agencies are capable of,if we dont know then no one can say that a designer was not involved or not required,0,Attack,C,0,1,0,
2777,by the logic of the antiidists the current theory of evolution is an atheistic theory because richard dawkins once stated it allows for one to be an intellectually fulfilled atheist,joe gthe only way to label intelligent design religious is to change the definition of religion,0,Attack,C,1,0,0,
3890,I support the truth and reconciliation commission,Truth and reconciliation are more important than retribution following violent and long term conflicts,1,Support,C,0,1,0,
3077,what proof can you offer that right now we have reached the maximum limit of human knowledge  why is it at this moment that nothing more should be known why not  years ago or  years from nowi am not here to argue scripture on god because the bible tells us that the man who lacks wisdom says that there is no god psalm  verse you do realize that quoting from the bible only works when you are talking with christians,i am not an atheist and have no reason to debate with anyone concerning an eternal being who is greater than any of us,0,Attack,C,0,0,1,
269,Many racists and especially xenophobes find the UKIP message appealing.,"Paul Nuttall was asked if his party had been talking to the Mid-Bedfordshire MP while she sat as an independent Conservative, amid speculation about her and the anti-EU party.",2,No Relation,C,0,0,1,
1160,"The momentum is with UKIP; Labour, Conservative and Liberal areas are all now vulnerable to them. ","She had the whip withdrawn last November when the leadership said it had not granted her permission to appear on the ITV reality show I'm a Celebrity, Get Me Out of Here.",2,No Relation,C,0,0,1,
3466,and do you not get a kick out of sp calling herself a rational christian as she blasphemes god and attempts to disprove him in every post,actually he does not believe in a liar god like you so really its you who is the blasphemer and he is a christian you are a biblist,0,Attack,C,1,0,0,
3567,creationism starts with a conclusion and finds data to support it according to the scientific method one is supposed to look at data and draw a conclusion from it therefore creationism is not science and needs not take any scientific consideration,been saying that ever since the first time i heard about creationsism,1,Support,C,0,0,1,
2223,"UKIP will lead the UK to independence from the oppressive EU, which is the only chance Britain has at restoring its former glory.","In contrast, the Liberal Democrat's Bill Newton Dunn quit the Tories in protest at its increasing hostility to Europe.",0,Attack,C,0,1,0,
187,The more the 'mainstream' parties smear and lie about UKIP the more their support rises.,He was ordered out of the chamber and will face disciplinary measures.,2,No Relation,C,0,0,1,
3548,murder is always illegal,we agree on something,1,Support,C,0,0,1,
1171,I'm no fan of UKIP but well done to them for initiating a much needed shake up of British politics.,He labelled it outrageous that under the prime minister's proposal somebody can come [to the UK] on January 1 from Romania and within 12 weeks be entitled to employment benefits.,2,No Relation,C,0,1,0,
395,It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,"That, he said, would present a real challenge to Labour leader Ed Miliband to make it known where he stood.",2,No Relation,C,0,1,0,
679,"If you want an insight into just how mad and bad UKIP are, go and read what their members, candidates and supporters write on the Telegraph.","Mr Farron said the result demonstrated the Liberal Democrats had the right to exercise more muscle in coalition negotiations, particularly in the run-up to the Budget on 20 March.",2,No Relation,C,0,0,1,
1143,Plenty of survey's have shown UKIP to be the most hated of the main parties.,"It's disappointing for the Conservative Party but we must remain true to our principles, true to our course, and that way we can win people back.",2,No Relation,C,0,0,1,
2279, creationism is not scientifically testable, evolution is an observable fact  while creationists often attempt to describe evolution as merely a theory this is not exactly the case,1,Support,C,1,0,0,
3418, there is eye witness reproducable evidence for micro evolution or change within a species which is irrefutable, i dont believe in evolution or anything contemporary beyond the dictionary definition of it,1,Support,C,1,0,0,
1431,UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,UKIP leader Nigel Farage said any members proven to have extreme right wing views would be expelled.,2,No Relation,C,0,0,1,
952,The success Ukip had in the european elections will be sufficient to galvanise one or preferably all the other parties to rid us of the EU's political influence.,The party currently has 19 councillors in local authorities in England - not including town and parish councils.,2,No Relation,C,0,1,0,
2235,UKIP do have more than Nigel Farage able to deal with media interviews.,It is Nigel Farage's future that will interest UKIP watchers now.,0,Attack,C,0,0,1,
2662,discovery institute writes ,the informational signaturesonly conscious beings produce signatures,0,Attack,C,0,1,0,
3158,first even as a biblebelieving creationist i want to say thanks for bring attention to genesis ,the study of science is intriguing but it shouldnt get in the way of ruling out the creator,0,Attack,C,0,1,0,
773,"The Tory party has been ruptured, for 20 years anyway, even without UKIP.",An interim leader will be chosen at UKIP's annual conference next month.,2,No Relation,C,0,0,1,
159,If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,David Silvester blamed recent flooding on the government's decision to legalise gay marriage - he was then suspended from the party.,2,No Relation,C,0,0,1,
2023,"UKIP do not bear scrutiny either as a coherent policy offer or a group of potential ministers , they are an insurgent party of protest with one message.","And he accused the government of burying their head in the sand over the size of the Roma community living in the UK, which he said was revealed in a recent study by Salford University.",2,No Relation,C,0,0,1,
2825,caseylate last night i posted my final rebuttals to the ncse on opposingviews,casey relies on the fallacy that undermining evolution somehow provides merit to id,1,Support,C,0,1,0,
1190,"Much of UKIP's meteoric rise has to do with political correctness, and the fact that ordinary people are sick of it.","Former TV Apprentice Katie Hopkins, from the new I Want a Referendum Party, claimed UKIP talked a lot, but did not deliver.",0,Attack,C,1,0,0,
3633,yeah free to do whatever you want without worrying about the consequences the joy of a life without believing in god,that is right i do not want another parental figure to tell me what to do when to do it and how to do it,1,Support,C,0,1,0,
924,If the other parties do tackle the issues of EU and immigration I'll be more than happy to see UKIP disappear.,"Isolating Britain and damaging Britain's reputation is not the right history to write, he said.",0,Attack,C,0,0,1,
1981,"The sooner we are out of the EU, the sooner we can start making this country great again.","Over three million jobs in this country, directly or indirectly, depend on us being in the EU, so that is a big choice.",0,Attack,C,1,0,0,
3830,Bribery is sometimes acceptable,Bribery is only wrong under a Westerncentric notion of corruption,1,Support,C,0,1,0,
1132,"Despite their best efforts at pretending otherwise, UKIP are still widely disliked and untrusted by the majority of the population.","Instead, they propose making a visa conditional on having health cover to reduce the burden on the NHS.",2,No Relation,C,0,0,1,
2991,you havent made a point at all,and i understand that god knows every future event before it ever occurs,0,Attack,C,0,0,1,
3531,catholics have a different belief the goal is to always save both mother and child if the fetus dies during the attempt to save both then that is what happens for instance with an ectopic pregnancy the goal is not to kill he fetus the goal is to save both mother and fetus,you told me in an earlier post that the mother should die even if they predict the fetus will kill the mother your bible states otherwise,0,Attack,C,1,0,0,
3154,i wish i could express my support for your comment more fully,not only do i think the young earth creationists are wrong in their opinions i think their teachings should be regarded as blasphemous to god himself,1,Support,C,0,0,1,
3986,movies should be fun entertaining this movie is not waste of my time,actually i thought it was very uplifting whenever there is life and hope its no longer depressing,0,Attack,C,0,1,0,
2964,yes im fully aware what a solar eclipse is,yes im fully aware what a solar eclipse is,0,Attack,C,0,1,0,
2589,fxl wrote so why arent physicists saying gravity is as well established as the theory of   evolution  it  is obvious isnt it i hope not to be too snarky but the pope finally got around to admitting that  galileo was correct in teaching that the earth revolved around the sun get the gravity connection,it is obvious isnt it i hope not to be too snarky but the pope finally got around to admitting that galileo was correct in teaching that the earth revolved around the sun get the gravity connection,0,Attack,C,0,1,0,
2625,that figures,contribution from joe gjoe ggeez pvm your position that everything comes down to sheer dumb luck is totally vacuous,0,Attack,C,0,0,1,
1667,It's a protest vote because (most) people know that UKIP will never net in power.,He argued that his party was on a journey from a party of protest to a party of government.,0,Attack,C,1,0,0,
3364, i am a christian and i do believe in evolution because there are quite an amount of amazing proofs for it, well to begin with there is a lot of strong evidence to support evolution the discovery of dna the discovery of fossils and primitive primates etc,1,Support,C,0,1,0,
2604,islandcontrary to modern and variant interpretations the anthropic principle was originally formalized by carter as an ideological statement against the dogmatic nonscientific prejudices that scientists commonly harbor that cause them to consciously deny anthropic relevance in the physics so they instead tend to be willfully ignorant of just enough pertinent facts to maintain an irrational cosmological bias that leads to absurd copernicanlike projections of mediocrity that contradict what is actually observed,carter points out that the coincidence found by bondi belonged to three classes the traditional kind  without use of the anthropic principle  those which only require the use of a weak anthropic principle and  those which require the invocation of an extended and hence rather more questionable strong anthropic principle,1,Support,C,0,1,0,
3469,the only stupid question is the unasked one,and many of the questions that creationists ask,0,Attack,C,1,0,0,
2290,attempts to conceal the creationismevolution controversy from students are dogmatic promotions of evolution,teaching darwinism is comparable to teaching flying spaghetti monsterism,1,Support,C,0,1,0,
534,"The momentum is with UKIP; Labour, Conservative and Liberal areas are all now vulnerable to them. ",The latest debate over a vote was prompted by David Cameron penning a Daily Telegraph article.,2,No Relation,C,0,0,1,
1013,Big business will not support UKIP given the devastation that withdrawal from the EU would cause.,"Lord Hanningfield is no longer a member after the court case, he said.",2,No Relation,C,0,0,1,
750,I'm no fan of UKIP but well done to them for initiating a much needed shake up of British politics.,"So, what can we read into the Wythenshawe and Sale East by election?",2,No Relation,C,0,1,0,
2804,tjopen debate is all we are asking for,some places do seem more open to honest debate over evolution rather than just trying to brainwash kids,0,Attack,C,0,1,0,
1255,"Any of the ""working class"" who believe UKIP will represent them have not read a UKIP manifesto!","Former Labour minister Graham Stringer also argued the case for a referendum, on the grounds EU powers had greatly expanded since the 1975 referendum.",2,No Relation,C,0,0,1,
3668,the wall thickness x should be five millimeter,thickness on a continued section should be as uniform as possible,0,Attack,C,0,1,0,
87,Support for UKIP is just growing because people are sick of the Tories and want to register protest.,Nigel Farage will tell activists at their spring conference later that the party has an appeal beyond disaffected Conservative voters.,0,Attack,C,1,0,0,
3021,i apologise for the personal slant to the first part of my first question it was meant to be rhetorical,for the bible to be divinely inspired all the persons writing the bible or translating the bible had to be listening to god all the time,1,Support,C,0,0,1,
3076,there are some things human beings were not meant to understand because the god who created this universe is a being who is greater than all of his creation,what proof can you offer that right now we have reached the maximum limit of human knowledge  why is it at this moment that nothing more should be known why not  years ago or  years from nowi am not here to argue scripture on god because the bible tells us that the man who lacks wisdom says that there is no god psalm  verse you do realize that quoting from the bible only works when you are talking with christians,0,Attack,C,1,0,0,
3268,then why is the top of mt everest covered in fossilized clamsbecause nearly all mountains used to be ancient sea floor genius,evolution has been proven many times,1,Support,C,1,0,0,
3752,low co emissions ,i do agree with this,1,Support,C,0,1,0,
903,"UKIP are an independent party and have shown that their appeal is broad, making big dents in staunchly Labour voting areas as well as the recent bi-election successes.",UKIP's deputy leader Paul Nuttall said the performance - which followed the party's second place in March's Eastleigh by-election - showed it was on an upward trajectory.,1,Support,C,0,1,0,
3234,to each their own as a personal belief i have nothing against those that subscribe to creationism but feel strongly that it does not belong in schools,life consist of nothing but creations,0,Attack,C,0,0,1,
3082,well once you accept the existence of an all powerful deity then anything is possible,aig decries scientists for making unproven assumptions while making many of their own,1,Support,C,0,0,1,
1473,UKIP is a vessel through which a protest is being delivered. ,"And at by elections voters are not choosing a government - they can shout loudly and protest, safe in the knowledge that it won't change the person who lives in Downing Street.",2,No Relation,C,0,1,0,
1137,Plenty of survey's have shown UKIP to be the most hated of the main parties.,"It had something of the air of a preacher's gathering, with a preacher who could be found afterwards puffing a pipe and supping a substantial glass of red wine.",2,No Relation,C,0,0,1,
3963,while i can see your point of view i enjoyed the pace of the film the tension especially when pope was onscreen had me holding my breath,right the tension was astonishing it made me feel ill  amazing a very good film,1,Support,C,0,1,0,
2956,carbon  is not the only method of dating used to determine the age of the universe,to the  currently   voting   yes that raises six immediate questions i assume this means the sun was created first how many days did that take to even have a day how long did creating the rest of the universe take or if it took six whole days to create the earth would the creator have had time to create all the rest i mean some of these galaxies are awfully huge and with a lot of intricatekly moving interstellar dust and radiation that had to be started off precesly right to fool modern astronomers why did the creator go to all this trouble to conceal the evidence behind a massive coverup of radiological datings cosmic radiation and well essentially the entire findings of geology and astronomy as supported by chemistry and physics why create all the kinds of   animals   during these days and then conceal this astounding fact behind what to evolutionary biologists and paleontologists seem an amazingly consistent set of interlocking facts from genetics behaviour morphology biogeography extinctions speciations fossils records epidemiology and immunology that fits with life evolving according to rather well understood processes why were so much of this omitted from the bible i mean a few hints about geology to predict earthquakes or the germ theory of disease would have been rather handy to thwart the devils work and a description of relativity would have been impressive,1,Support,C,1,0,0,
985,"The Green Party stands out as different, UKIP are just another bunch of neo-cons, although further out to the right.",It has - to an extent - set out to emulate what the Lib Dems did in the 1980s and 1990s by building a network of local councillors as a springboard to success on the national stage.,2,No Relation,C,0,0,1,
135,"I don't see UKIP as being far right, they're just further right than the rest who have congregated arund the middle ground.","I remember we were in Ypres, it was about 3:00am in the morning, we must have drunk the restaurant completely dry - it was one hell of a session, and I called time.",2,No Relation,C,0,0,1,
2446,if it cannot make predictions then it is not a viable theory,there was much that darwin did not know at that time that we now know and his original theory has since been supplanted by more modern versions of his theory,1,Support,C,0,1,0,
1305,"I sense that Farage is a total megalomaniac, a charlatan, someone who is in it for the attention and the glory and that in a strange way, that many UKIP voters know this but don't seem to mind.",There is only one party in this country that can guarantee the people in this country will get a referendum on the EU and that is UKIP.,0,Attack,C,1,0,0,
2042,"UKIP is a not a real party, with a clear global ideology and vision addressing all aspects of society: it is focusing on a handful of issues (all centered around membership in the EU and migrants), mostly ignoring global financial issues, health, education, security etc.",Mr Farage has successfully broadened UKIP's appeal away from Europe.,0,Attack,C,1,0,0,
2868,i do not wish to begin to defend the di as i am not familiar enough with their theory,i am glad that someone is trying to oppose the paradigm of undirected chancenonintelligent necessity,0,Attack,C,0,0,1,
3102,i am not disputing god and i hardly think the difference between a day and a billion years or so is splitting hairs,mike my apologies to you but i am surprised at the numbers of people here who appear to be somewhat hostile towards the existence of a supreme being namely god yahweh yahwah yhwh the i am that i am and so forth,0,Attack,C,0,0,1,
3597,if we bankrupt the country the war on terror will not be the reason,you are right it will be fighting the war in iraq,1,Support,C,0,1,0,
1893,A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.,"This time it isn't red lines, but red tape.",2,No Relation,C,0,1,0,
201,The current smear strategy against UKIP is not pulling people back but pushing them towards UKIP and if this carries on then things are going to be a lot tighter by the time the general election comes.,Mr Farage has previously said any Tory pledge must be written in blood.,2,No Relation,C,0,0,1,
1955,"UKIP is certainly NOT racist or xenophobic - if you, as I'm you have done, read our policies on the website there is no suggestion of this at all, it is more a rumour and conspiracy of the lefties. ",He said it was time for a proper debate about the difference between a refugee - who fears for his or her life - or somebody moving simply for economic benefit.,2,No Relation,C,0,1,0,
224,UKIP are not a single issue party anymore; UK Sovereignty is the crux of their party political platform but they've certainly expanded from that singular issue in recent years.,"Once the results are in, his party is highly unlikely to have gained control of a council.",2,No Relation,C,0,0,1,
2119,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".",UKIP says it is campaigning on a pro democracy message - aiming to rejuvenate local politics.,0,Attack,C,1,0,0,
3985,movies should be fun entertaining this movie is not waste of my time,then dont watch it its that simple but dont say that movies should be one thing have you not read depressing literature or stared at melancholic paintings before,0,Attack,C,1,0,0,
3674,hybrid electric vehicle,takes too long to charge,0,Attack,C,1,0,0,
2153,UKIP do have more than Nigel Farage able to deal with media interviews.,"Oh and if the last few minutes of reading this article has felt like the Nigel Farage Show, he still dominates this political party.",0,Attack,C,1,0,0,
730,If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,"We started with TV debates that were easy to agree, because they were quite controlled, Mr Cameron said.",2,No Relation,C,0,0,1,
1269,"Arguably, UKIP & co. aspire to destroy the culture created in Europe after WWII, which has been based on openness, free travel, migration and cross-geographic access to goods and labour markets.",The Lib Dem leader suggested both he and his Labour counterpart Ed Miliband backed having three debates over consecutive weeks before polling day.,2,No Relation,C,0,0,1,
251,"Arguably, UKIP & co. aspire to destroy the culture created in Europe after WWII, which has been based on openness, free travel, migration and cross-geographic access to goods and labour markets.",Equally concerning for the party leadership is the lack of activism.,2,No Relation,C,1,0,0,
1576,"Europe is no longer fit for purpose and we'd do better to be out than in, plus save a whole load of cash.","That said, Lord Davies told peers the bill was an excellent idea, because he was quite confident that any such inquiry would decide that the benefits of EU membership outweigh the costs.",0,Attack,C,1,0,0,
2772,unfortunately for them they have failed,why should i waste more than  seconds attempting to communicate with an ignoramusthere is a wonderful world wide web out there with a lot of substance,0,Attack,C,0,0,1,
2080,"UKIP's position is not reasonable, but racists and proto-fascist, considering they have nothing to say about the finance capital bombing of the economy, but to put all the blame for Europe's woes onto immigration.",UKIP leader Nigel Farage said any members proven to have extreme right wing views would be expelled.,0,Attack,C,0,0,1,
2004,"I don't think most people realise the benefits of free trade at all, and UKIP capitalise on peoples ignorance of the benefits of free trade as much as they can.","UKIP says there should still be a free trade agreement with other European countries, without the existing political links.",0,Attack,C,1,0,0,
3084,you are ignoring centuries of good scholarship including that in the last century specifically engaging the arguments of historical criticism and socalled higher reasoning,the scripture is silent as to which locale in the spacetime continuum the author of the account was measuring time from on the first day of creation,1,Support,C,0,0,1,
2729,well isnt that what the whole debate here is about,tjagain you may have faith that methodological materialism will solve all of these problems in the distant future,0,Attack,C,1,0,0,
990,"The problem with popularism but no substance, like UKIP represent, is that it just results in things getting worse and worse.",Local Conservatives do not share the national party's enthusiasm for the idea.,2,No Relation,C,0,0,1,
653,Should ukip get into government it would be fair to assume that we'll see a whole raft of right-wing policies as actual government policy.,"European Parliament president Jerzy Buzek, chairing the debate, looked set to carry on but jeers rose up and the French centre-right leader in the Parliament Joseph Daul challenged Mr Bloom to apologise.",2,No Relation,C,0,0,1,
315,"If UKIP don't like being smeared, then they need to stop smearing, stigmatising, and fear mongering about others.",This time they managed 17.9% of the vote.,2,No Relation,C,0,0,1,
1261,"If UKIP don't like being smeared, then they need to stop smearing, stigmatising, and fear mongering about others.","The Lib Dems held on to the Hampshire seat with a reduced majority of 1,771.",2,No Relation,C,0,0,1,
698,UKIP are asking the questions that haven't been asked by the opposition or the media.,"And Lord Adonis spoke about his political travels, via the SDP and Liberal Democrats, before settling on Labour, where he was in Gordon Brown's cabinet.",2,No Relation,C,0,0,1,
4012,did anybody else find the twist a bit silly i did it was shocking and unexpected alright but also so random ,i heard great things about old boy but when i finally finished watching it the ending just seemed like a forced plot twist to make the movie dark and edgy,1,Support,C,0,1,0,
3745,game of thrones is one of the best,i like it a lot,1,Support,C,0,1,0,
2879,so i decided to check out the actual articles in question and much to my dismay i came to realize that this seemed to be a blatant quote out of context,after reading the points between the ncse and the discovery institute on that claim i am still skeptical of this as well,0,Attack,C,0,1,0,
1087,I'm no fan of UKIP but well done to them for initiating a much needed shake up of British politics.,I want to free this country from the European Union and then I want us to have a much smaller level of state interference in our lives in this country.,1,Support,C,0,1,0,
1650,"In fact, all UKIP seems to talk about now is withdrawl from the EU without any genuine policy around UK's domestic economy.",Surveys of grassroots members are rare because it is almost impossible to get hold of party membership lists.,2,No Relation,C,0,0,1,
1287,"For many UKIP voters, it does not particularly matter what the party's policies are, but that UKIP is not Labour or Conservative.","Ex-leader Lord Pearson announced his intention to quit in August, saying he was not much good at party politics.",2,No Relation,C,0,0,1,
2665,according to its advocates the designer responsible for intelligent design in biology could be any sort of creative intelligence capable of engineering the basic elements of life,complexity is the more the norm than the exception,0,Attack,C,0,0,1,
1072,"I and many others will be voting UKIP not because of a handful of people that have said stupid things, it will be because I identify and agree with their overarching principles.",We need to show respect for people who have taken the choice to support this party and we are going to work really hard to win them back.,1,Support,C,0,1,0,
1465,It's a protest vote because (most) people know that UKIP will never net in power.,"He said the UK should quit the EU, with the referendum being moved forward.",2,No Relation,C,0,0,1,
3881,The US should ban cluster bombs,Rejecting the Ban on Cluster Bombs Hurts the international image of the US,1,Support,C,0,1,0,
743,"I don't see UKIP as being far right, they're just further right than the rest who have congregated arund the middle ground.","In Middlesbrough, Labour's Andy McDonald, a solicitor for a trade union law firm and former Middlesbrough councillor, won with 10,201 votes to UKIP candidate Richard Elvin's 1,990.",2,No Relation,C,0,0,1,
510,"If UKIP have a good general election and manage to take a few seats then that can only benefit Labour, because all of the seats that UKIP can possibly, conceivably win - well they are all Tory seats.",It should be clear Cameron territory.,2,No Relation,C,0,0,1,
2563,riiiight,intelligent design works off positive predictions about where experience tells us that   intelligent design   is the cause at work,0,Attack,C,0,0,1,
2461,the problem with your argument is that it simply depends on a certain kind of fossil not being foundthats part of the equation it also relies on changes or progressions between fossils happening to quickly or too sudden in order for it to be accounted for by chance and necessity,for starters   httpwww,0,Attack,C,0,0,1,
2565,meaningless nonsense of course,its funny because i already named some provided resources to find them and yet you seemed to dodge the argument altogetherfollowed by the usual nonsense,0,Attack,C,1,0,0,
595,A vote for UKIP is a vote to leave the EU and recover power over our national life.,UKIP averaged 25% of the vote and won more than 140 seats in the polls.,1,Support,C,0,1,0,
3227,just like pluto orbiting the sun completely and gravity theyre theories but in the scientific way of using the word,aha exactly and we now know that pluto is a planetoid not a planet,0,Attack,C,1,0,0,
3564,i do not seem to get the punchline maybe it is meant to be nonsensical,yes oddly the picture makes as much sense as most creationists ,1,Support,C,0,1,0,
3908,I believe that opinion polls harm the democratic process,Citizens have a fundamental right to vote on whatever the basis they choose,0,Attack,C,0,0,1,
2976,is often confused for rhetoric,the point of the debate is to set up a straw man that the world was created in six days that antichristians can knock down,1,Support,C,0,1,0,
821,"The core of UKIP seem pretty much right wing, so you can expect those polices to be similar to the current conservative ones which will drive the left leaning voters away in droves. ","Mr Farage resumed leadership of the party last year, replacing Lord Pearson who stepped down after nine months in charge.",2,No Relation,C,0,0,1,
1203,"The momentum is with UKIP; Labour, Conservative and Liberal areas are all now vulnerable to them. ","Nearly 10,000 candidates were battling for seats in councils across England - they are top-tier authorities in charge of schools, roads, refuse collection, fire and rescue and other local services.",2,No Relation,C,0,0,1,
2285,evolution has no implications for morality it describes what has happened making no judgement about whether what has happened is good nonreligious ethicists are perfectly capable of making moral judgements and they regularly do so,creationism makes a false historicalscientific claim that is detached from the broader precepts of belief in god,1,Support,C,0,0,1,
3699,yes they already have their own strong currency they can make it on their own plus they always come last at the eurovision song contest,the eu is not just about currency it is also about being able to travel without a visa and other economic factors,0,Attack,C,1,0,0,
2524,the only thing i take issue with in this argument is the comments about lenskis work with e,mr,1,Support,C,0,0,1,
403,"There's an election next month, UKIP are campaigning on the streets right now, and candidate upon candidate keeps churning out ridiculous (often racist, sexist or homophobic) views.","Other parties standing included the Trade Unionist and Socialist Coalition, which fought 120 seats, the BNP, with 99 candidates and the English Democrats, with 38 candidates.",2,No Relation,C,0,0,1,
539,"The momentum is definitely with UKIP at the moment, hopefully that will continue with the up and coming by-elections.",The Tories said an application to rejoin them had been rejected.,2,No Relation,C,0,0,1,
1815,"ukip's policies on health, education, taxation and all the things that affect peoples lives are non-existent.","We have fundamentally changed the national debate on Europe, immigration, education and I really believe that given the trajectory UKIP's on there is a real opportunity for us to get significant representation in 2015.",0,Attack,C,1,0,0,
2142,A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.,"He said he had been advised to make the arrangement for inheritance purposes, on the basis that it could be used to pay for things such as schools fees for grandchildren.",2,No Relation,C,0,0,1,
3956,Governments should be allowed to disrupt Internet service on grounds of national security,The right to internet access as a fundamental right,0,Attack,C,1,0,0,
265,"I don't necessarily think Nigel Farage is worthy of PM, I think they need a new leader.","The party's leader, Nigel Farage, has hailed early gains in council elections across England as remarkable for the party; UKIP has won 42 seats so far and is averaging 26% of the vote in the wards where it is standing.",0,Attack,C,1,0,0,
2244,"The sooner we are out of the EU, the sooner we can start making this country great again.",UKIP leader Nigel Farage said the UK had no real control over either the number or the type of migrants that were settling from elsewhere in the EU.,1,Support,C,0,1,0,
1986,UKIP want to get us out of the EU to make the British people much worse off then they already are.,"UKIP appears to have struck a chord with many voters on the issue of immigration, campaigning against the relaxation of working restrictions on Bulgarians and Romanians due to come into force in January.",0,Attack,C,0,0,1,
2564,intelligent design works off positive predictions about where experience tells us that   intelligent design   is the cause at work,meaningless nonsense of course,0,Attack,C,1,0,0,
3751,electric vehicles,low co emissions ,1,Support,C,0,1,0,
3279,your definition of faith is atheistic it actually denotes the essence of the term foolish,i thought evolution is a naturally occurring process not a consequence of a controlled experiment in a lab,0,Attack,C,0,0,1,
2844,jim,jimfinally i just want to say that it appears to me that statements made against id and their proponents  made by others not you  regarding id has been so emotionally charged it makes me feel their judgment is affected,1,Support,C,0,0,1,
746,"I don't necessarily think Nigel Farage is worthy of PM, I think they need a new leader.","It isn't going to happen, and Nick Clegg's made it very clear he isn't going to let it happen.",2,No Relation,C,1,0,0,
3912,We should negotiate with terrorists,No negotiation encourages the hunt for a bigger lever,1,Support,C,1,0,0,
3893,I support the truth and reconciliation commission,The South African reconciliation commission has proven itself to be ineffective,0,Attack,C,1,0,0,
437,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".",UKIP's 2010 manifesto called for Trident to be retained and ultimately be replaced by four British-built submarines armed with US missiles.,2,No Relation,C,0,0,1,
