orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
1440,"The whole UKIP-for-the-working-class narrative is utterly insane since, if we left the EU, the poor would still be competing with cheap foreign labor.","Conservative party vice chairman Michael Fabricant said the party had struggled to present a distinctive message during the Eastleigh election, saying UKIP had managed to connect with traditional blue-collar Tory voters on issues such as crime and immigration in a way the Conservatives had not.",2,No Relation,C,1,0,0,
3850,All nations have a right to nuclear weapons,Nuclear weapons serve to defuse international conflicts and force compromise,1,Support,C,0,1,0,
933,The current smear strategy against UKIP is not pulling people back but pushing them towards UKIP and if this carries on then things are going to be a lot tighter by the time the general election comes.,He said he was disappointed Ed Miliband had not mentioned Europe in his big speech on Tuesday.,2,No Relation,C,0,0,1,
2440,theories are not supported by finding confirming evidence only,ufcarazy although it is clear that id has led to some successful predictionsreally  what predictions has id made  and along those lines how exactly would id be falsifiable  without valid answers to these two questions it does not even begin to qualify as   science  ,0,Attack,C,0,1,0,
373,"The People's Army is on the march and UKIP will get Britain back from the Liblabcon, Establishment and MSM political abusers of our country.",Mr Helmer had been due to quit on 31 December over disagreements with Conservative policies but later indicated he would not do so until the position over his successor had been clarified.,2,No Relation,C,0,0,1,
3604,aikido judo and karate wado ryu would constitute a good combination,some of these martial arts videos are remarkable,1,Support,C,0,0,1,
3976,i remember being underwhelmed when this first came out but enough time had passed when i caught it on tv so perhaps i had just been in the wrong mood back then maybe this time ill enjoy it but no,this film is totally vacuous and the plot is unbelievable no way could everyone become infertile and if they did no way could one fertile woman save the planet,1,Support,C,0,1,0,
780,"Marketing UKIP as ""the people's army"" is a bitter irony.","Your assertion that you are a member, but without the right to sit or vote, is a contradiction in terms.",2,No Relation,C,0,1,0,
187,The more the 'mainstream' parties smear and lie about UKIP the more their support rises.,He was ordered out of the chamber and will face disciplinary measures.,2,No Relation,C,0,0,1,
2330,highlanderi am sure that highlander is familiar with the  foundational works of behe and dembskiboth rely on the absence of science being  able to explain a particular feature to infer design,your cites are worthless as defenses of your claims behe  dembski define id as an absence of science  what pages  what wordsdo you really think thats a clever proof of anything  you are not being very honest here pvm,0,Attack,C,1,0,0,
2488,if theres something on    evolution   news its irrelevant to intelligent design andor distorted beyond all scientific recognition,if biology leads to new design if it is viewed in that contextand it never has and never will,0,Attack,C,1,0,0,
2338,joewe look at the options,joe i do,0,Attack,C,0,1,0,
1216,"The UKIP mainstay vote is in normal working people because they never voted for 4 million immigrants, they never voted for Multiculturalism.","They support us working class folks, so I was delighted to cast my vote for [UKIP leader] Nigel Farage's team in Sussex, where I live, said Lynam.",1,Support,C,0,1,0,
845,UKIP are not rabid racist and not another incarnation of the BNP.,"If I was confident that Labour were going to do it, I would want to get there first.",2,No Relation,C,0,0,1,
488,I think it's far too simplistic to argue all UKIP supporters are racist - there is a real groundswell against the political establishment which over the past 20 years or so has started to converge in terms of image and policies.,The exchange took place in a House of Lords debate on Europe.,2,No Relation,C,0,0,1,
1492,"Despite you best efforts at pretending otherwise, UKIP are still widely disliked and untrusted by the majority of the population.","Immigration has also been an issue and UKIP, which rejects charges of being racist, sees the EU question being at the heart of it.",2,No Relation,C,1,0,0,
3837,We should fear the power of government over the internet,Internet regulation is necessary to ensure a safe internet,0,Attack,C,1,0,0,
389,"UKIP are a fairly right wing group as I'm sure will become clear when they actually produce some policies other than the ""its all the eu's"" fault.","With UKIP keen to be seen as more than a party which just campaigns on leaving the EU, the conference will also discuss defence, education and housing.",0,Attack,C,1,0,0,
109,"Arguably, UKIP & co. aspire to destroy the culture created in Europe after WWII, which has been based on openness, free travel, migration and cross-geographic access to goods and labour markets.","Liberal Democrat Tim Farron said the result for his party, which held on to the seat despite a drop in its vote share, showed that Lib Dem fortresses are firm.",2,No Relation,C,0,0,1,
3437, creation is fantasy and you cant prove a fantasy, it is only belief,1,Support,C,0,1,0,
2086,UKIP's sole aim at the general election is to get a smallish number of MPs elected but enough to hold the balance of power and do a deal with the Tories.,But he said there were still major differences such as grammar schools and windmills dividing the Conservatives and UKIP as he spoke to Jo Coburn about talks of a pact suggested by Conservative MP Michael Fabricant.,2,No Relation,C,1,0,0,
1343,If the other parties do tackle the issues of EU and immigration I'll be more than happy to see UKIP disappear.,"Timo Soini, leader of the Eurosceptic True Finns Party, which gained 19% of the vote at Finland's general election in April, will also address delegates.",2,No Relation,C,0,0,1,
816,"If UKIP have a good general election and manage to take a few seats then that can only benefit Labour, because all of the seats that UKIP can possibly, conceivably win - well they are all Tory seats.","Mr Farage stood down before the last general election in a failed bid to win a Westminster seat, but regained the job in last year's leadership contest.",2,No Relation,C,0,0,1,
632,The only reason we are even having a sensible debate about Europe are UKIP.,"The Conservatives and Labour were contesting most local election seats, with 2,263 and 2,168 candidates respectively.",2,No Relation,C,0,0,1,
3878,We should use torture to obtain information from suspected terrorists,If legal principles are abandoned then there is little point in defending the liberties that democratic governments say they are so keen to defend,0,Attack,C,1,0,0,
2887,i must admit this would all go a lot smoother if there were no word count limits or rules about how many posts you could make at a given time,i take it your also a closet fan of hugh ross am i right dnot really he tries hard but fails,0,Attack,C,0,0,1,
3045,the bible is true because the bible says so is incredibly juvenile logic,everything i say is correct regardless of logic or evidence that attempts to prove me wrong,1,Support,C,0,0,1,
3146,what does random premarital sex lead toa number of possible outcomes based on a number of factors,i believe that the first chapters of genesis including the ancient history of the hebrew people should be understood within the context of covenant,1,Support,C,0,0,1,
2193,"The sooner we are out of the EU, the sooner we can start making this country great again.","That said, Lord Davies told peers the bill was an excellent idea, because he was quite confident that any such inquiry would decide that the benefits of EU membership outweigh the costs.",0,Attack,C,1,0,0,
3053,intelligent design might be a seasoned exercise in rationalization but the claim that it is a science cannot be supported,the author seems to thing there is no extrabiblical evidence of a young earth,0,Attack,C,0,1,0,
3823,European Parliament elections should involve only one voting district all of Europe and not separate country seats,It punishes apathy,0,Attack,C,0,1,0,
3197,yes everyone evolves as everyone endures mutations,it doesnt need to be proven as there is no underlying math in physics there is,1,Support,C,0,0,1,
2306, public opinion is unimportant to whether creationism belongs in science classes  public opinion does not determine whether creationism qualifies as science,proof why creationism should be taught in schools,0,Attack,C,1,0,0,
3074,human beings added names to the days of week they were originally and simply numbers,why should we just stop  why not keep trying to understand the universe  i could never imagine being satisfied with a god did it,0,Attack,C,0,0,1,
625,People are not voting for UKIP because of immigration propaganda but because of their direct experience of immigration.,"Isolating Britain and damaging Britain's reputation is not the right history to write, he said.",0,Attack,C,0,0,1,
954,The people and media that are criticising UKIP are highlighting the genuine concerns about UKIP and their policies towards immigrants.,Some might dismiss this as wishful thinking from a leader who has always talked a good fight.,2,No Relation,C,1,0,0,
1381,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".","The first televised debates were held before the last general election in 2010, involving the three main party candidates - Labour's Gordon Brown, Conservative Mr Cameron and Liberal Democrat Nick Clegg.",2,No Relation,C,0,0,1,
563,UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,"Mr Farage said he would instead run for a seat in the Commons - specifically the seat of Commons Speaker John Bercow, which, by convention, other major parties do not fight.",2,No Relation,C,1,0,0,
3171,to me i do not see us evolving even if it takes forever it still does not show,first of all there have been writings in hebrew ,1,Support,C,0,0,1,
2182,UKIP's proposals on membership in the EU and migrants are at best purely demagogic: they do not take into account facts and more general issues.,It comes as William Hague ruled out an electoral pact with UKIP.,2,No Relation,C,0,0,1,
2460,the problem with your argument is that it simply depends on a certain kind of fossil not being found and you have been repeatedly proven wrong over the last  or  decades when such a fossil is found,the problem with your argument is that it simply depends on a certain kind of fossil not being foundthats part of the equation it also relies on changes or progressions between fossils happening to quickly or too sudden in order for it to be accounted for by chance and necessity,0,Attack,C,0,1,0,
2751, we focus only on the constitutional aspects to this issue,lets just cut to the chase id does not perform any empirical and statistical verifications at best they could perform statistical falsifications of a particular scientific hypothesis but even the simplest hypotheses are not easily captured in statistics and thus id has found that most examples of supposedly designed systems cannot really be tested using id methodology,0,Attack,C,0,0,1,
1769,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.",For Nigel Farage convincing his fiercest critics among UKIP's members and its estranged onetime supporters that he remains the right man to lead the party may be difficult.,0,Attack,C,1,0,0,
3337, i feel the need to distinguish between microevolution and macroevolution, yes i believe the theory of evolution is wrong as there are no scientific facts about that,1,Support,C,1,0,0,
1052,If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,"He unsuccessfully ran for Parliament last year, after setting up his own anti-corruption party.",2,No Relation,C,0,0,1,
1189,"I don't believe Farage is a racist and I don't believe the UKIP policies are racist, but I do think they will be the party that attracts most support from racists.",His comments came after Mr Callanan used a parliamentary debate to accuse the commission of representing the vested interests of the European District in Brussels not the people of Europe.,2,No Relation,C,0,0,1,
1868,UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,The latest debate over a vote was prompted by David Cameron penning a Daily Telegraph article.,2,No Relation,C,0,0,1,
622,Cameron had it right and UKIP could tip the balance towards Labour in the crucial marginal seats in the GE where the battle will take place .,UKIP reacted to coming second by saying they were the winners in the poll.,1,Support,C,1,0,0,
878,The only reason we are even having a sensible debate about Europe are UKIP.,"It is doing the country serious damage because there are large numbers of potential investors in the UK who would bring employment here, who are being warned off because of the uncertainty all of this is creating.",0,Attack,C,0,0,1,
3317, evolution is an embarrassment to science, im voting no based on the title of the debate and its relationship to the explanation,1,Support,C,0,0,1,
1444,"Europe is no longer fit for purpose and we'd do better to be out than in, plus save a whole load of cash.","Mr Cameron also said he did not think it would be right for Britain - or in the national interest - to leave the EU entirely, pointing out that some 50% of nation's trade was with the EU.",0,Attack,C,1,0,0,
2335,pvm is confused,joethe design inference reached based on our knowledge of what nature operating freely can  cannot do coupled with our knowledge of what designing agencies can do,0,Attack,C,0,0,1,
2560,behe assertsdesign is recognized in the purposeful arrangement of partswho decides if an arrangement of parts is purposeful  what does purposeful really mean in that statement  do the parts have purpose  does the arrangement have purpose  did the designer have purpose  if i take an old wristwatch and remove all the springs and gears and arrange them in a circle is the circle designed  if i throw them in a heap are all of the parts of the watch no longer designed  if i pick up some metal shavings off of the floor from under the lathe in the machine shop and arrange them into a complicated mathematical pattern that i generated using a computer program can you tell if this is a purposeful design or just a random designis a virus designed  a prion  a fragment of rna a benzene molecule  how can you tellwaving your hands and saying i know design when i see it and all life was obviously designed just wont cut it,who decides if an arrangement of parts is purposeful what does purposeful really mean in that statement do the parts have purposeif there is some form of synergy in the arrangement then yes that would be purposeful,0,Attack,C,0,1,0,
2619, joeif we dont know then no one can say that a designer was not involved or not required,the only way that design could be detected in nature is if there were objects around that werent designed,1,Support,C,0,1,0,
3534,evolutionists cannot support their theory and expect you to find proof to support yours,i thought you said that you had been following the converstaion i guess you did not understand any of it,0,Attack,C,0,0,1,
3458,perhaps you should go get a bit of education on the subject bud embalming is not fossilization nor are they comparable,the egyptians were trying to preserve the bodies and under the best of circumstances look how they deteriorate now ask yourself this genius how long does it take for a bone to fossilize and does a fossilized bone become immune to the elements and deterioration over millions of years when even steel corrodes from the alkali in the earth,0,Attack,C,0,1,0,
2270,"The whole UKIP-for-the-working-class narrative is utterly insane since, if we left the EU, the poor would still be competing with cheap foreign labor.",Mr Farage has successfully broadened UKIP's appeal away from Europe.,0,Attack,C,1,0,0,
219,A forensic examination of UKIP's policies would nail once and for all the Establishment lie that they're a bunch of swivel-eyed racists.,I must repeat my predecessor's statement that you are not and have never been a Member of the House of Lords.,2,No Relation,C,0,0,1,
3229,no evolution has yet to proven,evolution has not ceased in any animal,0,Attack,C,0,1,0,
3870,We should create a United Nations standing army,There are better alternatives to solving the problems of contemporary warfare,0,Attack,C,1,0,0,
955,People are not voting for UKIP because of immigration propaganda but because of their direct experience of immigration.,An above-inflation 4.9% rise would take the commission's total funding for 2012 to 132.7bn euros (Â£117bn).,2,No Relation,C,0,0,1,
2321,grayling explains in his review of fullers latest book quite well how id is doomed to remain scientifically vacuousfuller has written about popper he seems to forget poppers killer point namely a theory that explains everything explains nothing,pvm wrote however this is false and misleading,0,Attack,C,1,0,0,
623,Big business will not support UKIP given the devastation that withdrawal from the EU would cause.,"What you are not free to do, and what only an Almighty God is free to do, is to control the divine consequences of your proposed action.",2,No Relation,C,0,0,1,
3281,please take no offence to my response,its called the theory of evolution for a reason,1,Support,C,0,0,1,
3062,what do you think,was the earth created in six days or six thousand years  all evidence points to a accretion of material over the course of millions of years several starting around  billion years ago,0,Attack,C,0,1,0,
1322,UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,Labour say the council elections are taking place in what they call Tory heartlands - the shires where Conservatives should expect to win.,2,No Relation,C,0,0,1,
1504,Plenty of survey's have shown UKIP to be the most hated of the main parties.,Mr Farage has successfully broadened UKIP's appeal away from Europe.,2,No Relation,C,1,0,0,
378,If UKIP is really the best our country can do for an alternative then we are all doomed.,"The party's then-leader, Lord Pearson, actively campaigned for Mr Hollobone in his constituency, Kettering.",2,No Relation,C,0,0,1,
2179,"On voting day, this week the vast majority of the British public will not vote for UKIP.","Speed-awareness course, where drivers pay extra money to take remedial lessons rather than accept extra points on their licences, were intended to make money, he added.",2,No Relation,C,0,0,1,
1024,"The Green Party stands out as different, UKIP are just another bunch of neo-cons, although further out to the right.","It is learning the highly specialised discipline, once the domain of the Lib Dems, of winning elections.",2,No Relation,C,0,0,1,
3127,in genesis we have no reason to believe that one day meant any more than one day today,if scientific inquiry has shown conclusively that genesis is at best allegorical then christians should reconsider beliefs that presume a historical interpretation of eden,1,Support,C,0,1,0,
865,"Labour should be running scared of UKIP, now the working class are starting to realise that Labour is for middle class socialists and the public sector.","Mr Farage suffered back injuries sustained in an air crash on election day 2010, and had had a couple of discs removed from my neck and replaced last week, he told the BBC.",2,No Relation,C,0,0,1,
298,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.","Shortly after that, the national executive lost a no confidence vote and leader Michael Holmes resigned, although he remained an MEP.",2,No Relation,C,0,0,1,
3765,friends best comedy series ever nothing comes close to that,friends is my favourite television series it has a great sense of humor and very entertaining,1,Support,C,0,1,0,
3338, yes i believe the theory of evolution is wrong as there are no scientific facts about that, yes the theory of evolution is wrong it got popular when darwin wrote the book the origin of species but later on many scientists proved from several experiments that it is an incorrect theory,1,Support,C,0,1,0,
1453,"UKIP is certainly NOT racist or xenophobic - if you, as I'm you have done, read our policies on the website there is no suggestion of this at all, it is more a rumour and conspiracy of the lefties. ",Mr Hague also said he would set out more detail on the government's plans to renegotiate Britain's relationship with the European Union before next year's European elections.,2,No Relation,C,0,0,1,
324,The hate campaign against Eastern Europeans that was and is run by UKIP legitimises anything said against them.,It has long been a safe Labour seat and it still is.,2,No Relation,C,0,0,1,
1608,"UKIP advocates for the UK leaving the European Union which would be a bad idea ‚Äì but they are trying to leverage on the british people‚Äôs need to belong and pride to be british, which further sparks their anti-foreigner standpoint.","The Conservatives have argued the surge in support for UKIP was essentially a protest vote, but Mr Farage dismissed this as the default position of the political establishment.",2,No Relation,C,0,1,0,
3680,nothing is more important than my research time and i just think this is a distraction,but if we get this right we will waste less research time with dodgy students we wish we had rejected at interview,0,Attack,C,1,0,0,
2939,the order of events in genesis i agree with   science  ,certainly there is value in the documents from which human culture has derived the christian bible the value of which is to be determined individually by the reader,1,Support,C,0,0,1,
976,UKIP are asking the questions that haven't been asked by the opposition or the media.,"The party's then-leader, Lord Pearson, actively campaigned for Mr Hollobone in his constituency, Kettering.",2,No Relation,C,0,0,1,
3679,nothing is more important than my research time and i just think this is a distraction,are you an empire builder,0,Attack,C,0,0,1,
1767,"Even a UKIP European candidate, Janice Atkinson, another ex-Tory, admits leaving the EU would be problematic.","While the number of immigrants arriving in the country remained virtually unaltered over the period, the increase was driven by a change in the number of people leaving Britain.",2,No Relation,C,0,0,1,
3623,makes george carlins plan to use the state of kansas as a prison even more appealing i especially liked the board member dogma statement,yes kind of reminds me of abraham lincolns thought better to remain silent and be thought a fool than to speak out and remove all doubt,1,Support,C,0,1,0,
2943,werent covered under mosaic   law  ,i recall somewhere in genesis when   god   banished and marked cain some sort of reference to other people being alive other than just the first family ie adamevecain and abel and that the only reason that he would have marked abel was to protect him but protect him from whom if they are indeed the only other people so that logically leads to the assumption that there were other people living along side the first family,1,Support,C,0,0,1,
3477,this seems to conflict with some of your earlier posts wherein you support terrorists,you show me the post where i said i thought terrorists killing children was a good idea and i will eat my keyboard,0,Attack,C,1,0,0,
2087,"As far as immigration is concerned all Ukip want is a level playing field for non EU migrants and to control the numbers so, if anything, Ukip are too soft on immigration.",Contrary to massive public rumour I never wanted to be a minister.,2,No Relation,C,0,0,1,
3483,he was not discussing abortion nor was he promoting it,and you fail to answer the question,0,Attack,C,1,0,0,
3168,i agree with your definition of ignorance but i feel that ignorance crosses into stupidity when those who are ignorant but have the means to inform themselves fail to do so,yeah thats kinda true,0,Attack,C,0,1,0,
3714,usually the best city in every country is the capital so i would go for madrid ,i have never been there but a friend of mine went last summer and she said that madrid is really wonderful,1,Support,C,0,1,0,
3691,you can get any other tablet for much less that has the same features ,build quality and response time to input are much better than on other tablets,0,Attack,C,1,0,0,
1879,The Ukip is only an effect of years and years of fake politics and a lot of radical chic talking nonsense through editorials.,He held positions in the governments of Margaret Thatcher and John Major before becoming treasurer in 2003.,2,No Relation,C,0,0,1,
139,I'm no fan of UKIP but well done to them for initiating a much needed shake up of British politics.,"He told the BBC that UKIP, which wants Britain to leave the EU, was making its cause more mainstream among Labour and Tory MPs via its campaigning.",1,Support,C,0,1,0,
938,"The UKIP party is a populist party at the right end of the spectrum, which exploits people's fears of the foreign and unknown.",The party members were asked about their views on UKIP.,2,No Relation,C,0,0,1,
85,"The Green Party stands out as different, UKIP are just another bunch of neo-cons, although further out to the right.",He rejected a suggestion from Conservative Defence Secretary Philip Hammond that the defence budget should be protected and more cuts made to welfare.,2,No Relation,C,0,0,1,
