orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,correct
3796,We should ban religious symbols in public buildings,If you ban one thing you have to ban lots of things,0,Attack,C,1,0,0,1
1071,Intellectually I rate Farage much higher than Cameron; he has a very sharp and quick wit and is an excellent public speaker.,What worries me is that two thirds of people didn't bother to vote at all.,2,No Relation,C,0,0,1,1
2463,the di is correct to point out that a lack of merit of id should not be confused with its religious implications however the combinations of its religious foundations with a lack of scientific content provides a strong argument against id having merit scientifically and delegates it to the realm of theology,but i think you dont realize the importance of your concession that the di is correct to point out that a lack of merit of id should not be confused with its religious implications,1,Support,C,0,1,0,1
356,Support for UKIP simply indicates that people have noticed that the major parties do not represent their interests.,He suffered the injuries after the plane he was in crashed on General Election Day in May 2010.,2,No Relation,C,0,0,1,1
2903,oneinbillion observes that luskins claim id makes reliable inferences,stop eating at creationists heads and settle down a tad,0,Attack,C,0,0,1,0
2896,in other words the terms as defined clearly mirrored what we know as creationism and that it was an inherently religious concept,in pandas we read creation means that the various forms of life began abruptly through the agency of an intelligent creator with their distinctive features already intact,0,Attack,C,0,1,0,0
3547,everything is made up of cells,yes every living thing is made up of cells,1,Support,C,0,1,0,1
2520,why are these two questions always independentbecause   science   as we know it today can only answer one of them,because   science   as we know it today can only answer one of them,0,Attack,C,0,1,0,0
2613,the argument always had intuitive plausibility,you gave  claims of intelligent design intelligent agents sometimes leave traces of their activity behind like fingerprints on evidence,0,Attack,C,0,1,0,0
1243,UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,"Oh and if the last few minutes of reading this article has felt like the Nigel Farage Show, he still dominates this political party.",2,No Relation,C,0,0,1,1
3882,The US should ban cluster bombs,Cluster Bombs Have Significant Strategic Value,0,Attack,C,1,0,0,1
758,"It's true that UKIP dont have ideas to suit everyone, but at the moment they are heads above the pillocks at No 10 today.",UKIP's Nigel Farage said the PM was a problem for Tories and some Tory MPs said there were lessons for the party.,1,Support,C,0,1,0,1
2854,lets talk about cricks statement biologist must constantly keep in mind that what they see was not designed but rather evolved,the bottom line is some interpretations of evolution leave little room for a caring god,0,Attack,C,0,1,0,0
2915,the national center for science education has a good reason to be concerned about intelligent design,perhaps what is needed is to distinguish between academic freedom and peer review,1,Support,C,0,1,0,1
1955,"UKIP is certainly NOT racist or xenophobic - if you, as I'm you have done, read our policies on the website there is no suggestion of this at all, it is more a rumour and conspiracy of the lefties. ",He said it was time for a proper debate about the difference between a refugee - who fears for his or her life - or somebody moving simply for economic benefit.,2,No Relation,C,0,1,0,0
3902,I believe that opinion polls harm the democratic process,Opinion polls are harmful to the democratic process because they stifle debate,1,Support,C,0,1,0,1
2326,highlanderpvm seems unaware randomness and design are mutually exclusive concepts,naming two well known id proponents does not a citation make to support pvms twisted version of id arguments,0,Attack,C,0,1,0,0
3208,no thats incorrect,no that is also incorrect,0,Attack,C,0,0,1,0
223,"The People's Army is on the march and UKIP will get Britain back from the Liblabcon, Establishment and MSM political abusers of our country.","Peter Kellner, president of survey organisation YouGov, said he expects UKIP to worry the Tories by potentially wrecking their chances of winning an overall majority.",1,Support,C,0,0,1,0
1548,UKIP's proposals on membership in the EU and migrants are at best purely demagogic: they do not take into account facts and more general issues.,"Mr Silvester recently wrote another letter, this time to the Henley Standard newspaper, saying the UK had been beset by storms since the passage of the law on gay marriage because Mr Cameron had acted arrogantly against the Gospel.",2,No Relation,C,0,0,1,1
2817,if the institution in question does not feel that id is a valid line of inquiry then i dont see why it would give tenure to people who subscribe to the theory, what predictions has id made and have they so far proven truesee the above links,1,Support,C,1,0,0,0
3347, evolution is just logic, hahaha theres always one that slips through the net,1,Support,C,1,0,0,0
599,"Much of UKIP's meteoric rise has to do with political correctness, and the fact that ordinary people are sick of it.",He faced angry internal opposition to his policy of supporting Eurosceptic candidates from rival parties at the Westminster elections.,2,No Relation,C,0,0,1,1
3897,The International Criminal Court should be recognised,The ICC generates crippling expenses,0,Attack,C,1,0,0,1
1027,UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,"He spoke later against those who offer easy answers where there are none, such as those who offer the comfort blanket of British destiny - as though we'll always just muddle through.",2,No Relation,C,0,0,1,1
2925,um this thread is months old and no one is reading it,i know this sounds crazy but in a weird way im honored to get a response from you,0,Attack,C,0,1,0,0
1712,UKIP language tends to portray the real experiences of UKIP people not the politically correct fantasy construct that too many people on here seem comfortable with.,"UKIP are certainly trying to professionalise, to move away from its more amateurish origins.",1,Support,C,0,0,1,0
440,Plenty of survey's have shown UKIP to be the most hated of the main parties.,This is the figleaf they cling to in making the case they won't be annihilated at the general election.,2,No Relation,C,1,0,0,0
3389, people who believe that god created the earth keep saying that they got this from the bible, i believe in evolution,1,Support,C,1,0,0,0
2828,the ncse says that    intelligent design    is a religiously motivated attack on science but the ncse does not claim that is why it should be rejected,id is not science because it can never make a prediction that is meaningful,0,Attack,C,1,0,0,1
1161,Plenty of survey's have shown UKIP to be the most hated of the main parties.,"Mr Farage, whose party wants the UK to pull out of the EU, said the budget proposal illustrated how out of touch those running the organisation were.",2,No Relation,C,0,0,1,1
2365,i recently read that after careful study the backwards wiring is essential,if you are going to comment on something in   science   you need to back it up with actual data,0,Attack,C,1,0,0,1
2381,that one is from isaiah ,yes god is by his nature  supernatural,0,Attack,C,0,1,0,0
393,I suspect when people do start to focus and the election is close UKIPs incoherent policies will be exposed.,He stepped aside as leader to allow himself more time to fight the Speaker of the House of Commons John Bercow for his Buckingham seat at the general election.,2,No Relation,C,0,0,1,1
3238,actully uncomplext compunds bonded to geather to create chemicals and very very uncomplect cell fragments that then banded to geather with otherthings for survival and formed the first very simple cells that then became more complext,god was created by people who needed faith in something,1,Support,C,0,0,1,0
2070,Whether UKIP can deliver on their promises if they were to win power at the next general election is a moot point because they will not win power.,Mr Cameron has promised an in/out referendum after he has negotiated the return of some powers - so far unspecified - from Brussels.,2,No Relation,C,0,0,1,1
1519,"Despite you best efforts at pretending otherwise, UKIP are still widely disliked and untrusted by the majority of the population.","The Conservatives finished third at Eastleigh, in Hampshire, behind the Liberal Democrats, who held the seat, and the UK Independence Party (UKIP).",2,No Relation,C,0,0,1,1
2506,in order to have purposefulness and intentionality you need selfawareness,in fact behes claim is either tautological or it is wrong,0,Attack,C,1,0,0,1
2576,non sequitur,i dont think anyone who feels limitations should be brought to light about a theory is a   creationist  ,0,Attack,C,0,0,1,0
3551,that would be true if he did not keep on opening up thread after thread after thread of the same subject he makes  or  posts then runs away to open up another thread,yes i agree with you,1,Support,C,0,1,0,1
1593,"Despite you best efforts at pretending otherwise, UKIP are still widely disliked and untrusted by the majority of the population.",Farage admitted the party had not had time to properly vet all of its new recruits and he was forced to suspend a handful of them following newspaper reports of alleged racist comments.,2,No Relation,C,0,1,0,0
140,If the other parties do tackle the issues of EU and immigration I'll be more than happy to see UKIP disappear.,"He told the BBC that UKIP, which wants Britain to leave the EU, was making its cause more mainstream among Labour and Tory MPs via its campaigning.",1,Support,C,1,0,0,0
2376,psyop asks rhetorically if the universe is expanding what happens when that expansion ceases first of all the expansion of our universe is an observed fact,the expansion of the universe is biblically supported,0,Attack,C,0,1,0,0
2808,tjwho the designer is has nothing to do with id theory and everyone knows that,after admitting that science is not atheistic he now accuses atheists scientists and christians alike of not liking ids implications when in fact anyone should realize that these objections are firstmost about the lack of scientific content of id and that the strong religious foundation of id is only secondary to this,0,Attack,C,0,1,0,0
10,"The country faces more than two big issues, which is where Ukip come apart at the seams in an incoherent bunch of right wing horse shit from whatever Think Tank came along at the time.","In a BBC interview, Lord Tebbit, an ally of former Prime Minister Margaret Thatcher, urged Mr Cameron to immediately put legislation in place to allow for a referendum and set a date for it.",2,No Relation,C,0,0,1,1
2831,common descent neither supports nor refutes id,because of course id really does not mean anything significant,0,Attack,C,0,1,0,0
81,"The UKIP party is a populist party at the right end of the spectrum, which exploits people's fears of the foreign and unknown.","The private members bill, from Tory MP James Wharton, paves the way for an in-out referendum on the EU in 2017.",2,No Relation,C,0,0,1,1
844,"Arguably, UKIP & co. aspire to destroy the culture created in Europe after WWII, which has been based on openness, free travel, migration and cross-geographic access to goods and labour markets.","But judging from recent opinion polls UKIP's wider policies - grammar schools, curbing immigration and opposing gay marriage - seem to have struck a chord with disenchanted voters from the big three.",0,Attack,C,1,0,0,1
2998,i dont care how many times you say it,you cant prove anything using that same thing you have to use evidences outside of that,0,Attack,C,0,1,0,0
2956,carbon  is not the only method of dating used to determine the age of the universe,to the  currently   voting   yes that raises six immediate questions i assume this means the sun was created first how many days did that take to even have a day how long did creating the rest of the universe take or if it took six whole days to create the earth would the creator have had time to create all the rest i mean some of these galaxies are awfully huge and with a lot of intricatekly moving interstellar dust and radiation that had to be started off precesly right to fool modern astronomers why did the creator go to all this trouble to conceal the evidence behind a massive coverup of radiological datings cosmic radiation and well essentially the entire findings of geology and astronomy as supported by chemistry and physics why create all the kinds of   animals   during these days and then conceal this astounding fact behind what to evolutionary biologists and paleontologists seem an amazingly consistent set of interlocking facts from genetics behaviour morphology biogeography extinctions speciations fossils records epidemiology and immunology that fits with life evolving according to rather well understood processes why were so much of this omitted from the bible i mean a few hints about geology to predict earthquakes or the germ theory of disease would have been rather handy to thwart the devils work and a description of relativity would have been impressive,1,Support,C,1,0,0,0
2623,im aware of that id christians give themselves a huge fudge factor by claiming that the fall of man somehow fouled up nonhuman nature,joe gbtw christianity does not maintain that god created everything as it is today,1,Support,C,1,0,0,0
1741,"UKIP are a two trick pony, Europe and immigration that's it.","In 2006, the lower-key Knapman retired, to be replaced by Nigel Farage, an eye-catching media performer who pledged to make UKIP a truly representative party, ending its image as a single-issue pressure group.",2,No Relation,C,1,0,0,0
3833,Bribery is sometimes acceptable,The demand for bribes would end if companies stopped supplying them,0,Attack,C,1,0,0,1
732,"The UKIP party is a populist party at the right end of the spectrum, which exploits people's fears of the foreign and unknown.",The word slut has different meanings to different generations.,2,No Relation,C,0,0,1,1
2270,"The whole UKIP-for-the-working-class narrative is utterly insane since, if we left the EU, the poor would still be competing with cheap foreign labor.",Mr Farage has successfully broadened UKIP's appeal away from Europe.,0,Attack,C,0,0,1,0
456,The current smear strategy against UKIP is not pulling people back but pushing them towards UKIP and if this carries on then things are going to be a lot tighter by the time the general election comes.,UKIP plans to field candidates in the majority of November's contests across England and Wales and could take advantage of an expected low turnout to win in some areas.,2,No Relation,C,0,1,0,0
2130,UKIP will not improve public services.,"UKIP warn that long-term youth unemployment is already among the highest in Europe and pressure on job markets from further migration could lead to social unrest, with local authorities and public services unable to cope.",0,Attack,C,0,0,1,0
466,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.",Leader Nick Clegg said the party's candidate Mike Thornton had pulled off a stunning victory which had been secured against the odds.,1,Support,C,0,0,1,0
516,"I don't think most people realise the benefits of free trade at all, and UKIP capitalise on peoples ignorance of the benefits of free trade as much as they can.","Some Tory strategists believe it was a mistake for Mr Cameron to agree to them, arguing that they allowed Lib Dem leader Nick Clegg to seize the initiative from the Tory leader.",2,No Relation,C,0,0,1,1
3934,We should allow voting at 16 in European Parliament elections,EU elections would put young people off voting,0,Attack,C,1,0,0,1
1098,I'm no fan of UKIP but well done to them for initiating a much needed shake up of British politics.,Labour are not going to win - they have said so themselves - and UKIP are running a very colourful campaign but they are not going to win.,1,Support,C,1,0,0,0
1821,UKIP doesn't need to win power to force the changes people want.,Their debate followed a Daily Politics flim looking at a possible pact between UKIP and the Tories.,1,Support,C,0,0,1,0
2542,we absolutely exclude natural selection as a designerthe real trick is convincing the public that macroevolution is a scientific fact when it has never been observed which is a requirement for sciencei dont know where you get your information but i dont know any id people who include nonid as part of their belief systemlets do this sir lets bring it home to where we live if the human body is not an intelligent design then you tell me what is the definition for an intelligent designwhat is a intelligent design and why is your example an intelligent design   simple straight forward questionwhat is your simple straight forward answer                   bet you cant do it,icdesignwhat is a intelligent design and why is your example an intelligent design simple straight forward question,0,Attack,C,0,1,0,0
2789,but they do,how do public schools support hate of   religion  ,0,Attack,C,0,0,1,0
6,A vote for UKIP would be a vote for a Tory-UKIP alliance that would be more right-wing than a Tory government.,UKIP appealed to protest voters but also to Blue Collar Conservative voters.,1,Support,C,0,1,0,1
1391,"The People's Army is on the march and UKIP will get Britain back from the Liblabcon, Establishment and MSM political abusers of our country.","The responsibility of employers is to the communities they live in as well as to making a pure profit, he said.",2,No Relation,C,0,0,1,1
2587,theology it says in his profile,anybody that thinks there is currently a healthy scientific debate over intelligent design has missed the history of the last  years,1,Support,C,1,0,0,0
2285,evolution has no implications for morality it describes what has happened making no judgement about whether what has happened is good nonreligious ethicists are perfectly capable of making moral judgements and they regularly do so,creationism makes a false historicalscientific claim that is detached from the broader precepts of belief in god,1,Support,C,0,0,1,0
3639,any state of the art pc with a game pad,i think that the best consoles by far are either the xbox or the ps,0,Attack,C,0,0,1,0
2876,but i certainly do believe that nature exhibits intelligence and design not to mention beauty and love,fundamental pointsthere are wellcredentialed scientists who support intelligent design idso what  there are many many more wellcredentialed scientists who say intelligent design is nonsense,1,Support,C,1,0,0,0
1184,"The momentum is with UKIP; Labour, Conservative and Liberal areas are all now vulnerable to them. ","Explaining his decision to swap sides, Mr Campbell Bannerman - MEP for the East of England - said UKIP had become obsessed with single issue politics, internal fighting and shouting from the sidelines.",0,Attack,C,1,0,0,1
279,"The momentum is with UKIP; Labour, Conservative and Liberal areas are all now vulnerable to them. ","A by-election will also be held for the Westminster seat of South Shields, vacated by Labour's David Miliband.",2,No Relation,C,0,0,1,1
2277,the theory of evolution is not falsifiable, teaching creationism is dangerous to science and reason  if a theory that does not follow the scientific method is taught in schools as science science and reasoning will be undermined,0,Attack,C,0,0,1,0
1399,"If you think that the Tories are nasty, heaven help us if UKIP get in because they would be nastier, more cruel, and more bigoted.","The penny is beginning to drop with the British people and British businesses that we are no longer a self-governing nation, and UKIP are here to remedy this.",0,Attack,C,1,0,0,1
3879,The US should ban cluster bombs,Cluster Bombs Cause Unacceptable Harm to Civilians,1,Support,C,0,1,0,1
1026,If UKIP are wise they will alter their attitude about the NHS and public services in general.,But they propose making a visa conditional on having health cover to reduce the burden on the NHS.,0,Attack,C,1,0,0,1
3883,The US should ban cluster bombs,The Ban is Unfeasible,0,Attack,C,1,0,0,1
2822,so would you like to give a better explanation on what current ool theories exist this is definitely a subject in origins debate that interests me most,instead of a bolt of lightning hitting a pool of   chemicals   and making a cell pop outwhere did i say thatit was most likely a slow process taking place along the ancient shores,0,Attack,C,0,1,0,0
2824,where did i say thatit was livvy that originally said it,caseylate last night i posted my final rebuttals to the ncse on opposingviews,1,Support,C,0,0,1,0
2693,bowmanid addresses evidences for designed structures mechanisms and synergistic systems in biology,even the antiidists require something beyond nature to explain the origin of nature,0,Attack,C,0,0,1,0
2680,religion requires some kind of theology,could it be that you are biased against   religion   because i hate to break it to you but   christians   believe that the world is round so does that mean you disagree your foundation should be on whether or not your point of view is provable and truthful,1,Support,C,1,0,0,0
1966,UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,"And there's quite a lot of them, he added.",2,No Relation,C,0,0,1,1
3363, the simplest way to prove it is this, i am a christian and i do believe in evolution because there are quite an amount of amazing proofs for it,1,Support,C,0,1,0,1
1746,"I don't think most people realise the benefits of free trade at all, and UKIP capitalise on peoples ignorance of the benefits of free trade as much as they can.","Do you want to stick with us, on the right track - delivering an economy for hardworking people? Or do you want to put all of that at risk with Ed Miliband and his crazy plans to tax business out of existence? That'll be the choice.",2,No Relation,C,0,0,1,1
3110,the scientific investigation into the question of the age of the earth and of the universe has been going on for hundreds of years,maybe get someone to do your studies who doesnt pay a tithe  someone who perhaps doesnt own a   bible  ,1,Support,C,1,0,0,0
3344, if we werent continually evolving most of us  wouldnt be offended by the way the rest are degenerating, no no no  we are evolving constantly we have evolve so much that now we have the power to create,1,Support,C,1,0,0,0
3142,at the risk of sounding like my mother i dont know what happened to you that caused you to hate christianity so but it is evident that you absolutely hate it,but i can see she didnt teach you much,1,Support,C,1,0,0,0
129,"I sense that Farage is a total megalomaniac, a charlatan, someone who is in it for the attention and the glory and that in a strange way, that many UKIP voters know this but don't seem to mind.",Marta Andreasen said Mr Farage had abjectly failed and should go.,1,Support,C,0,1,0,1
543,"The greens and ukip provide encouragement for labour and conservatives alike to address some issues people care about, albeit only lip service to retain votes mainly.",He said the party had never been more important for our freedom as a self-governing democracy and had to go on telling the truth about Europe.,2,No Relation,C,1,0,0,0
826,"The greens and ukip provide encouragement for labour and conservatives alike to address some issues people care about, albeit only lip service to retain votes mainly.",It's one of the safest seats in the country and has been held by the party since 1935.,2,No Relation,C,0,0,1,1
234,"The momentum is with UKIP; Labour, Conservative and Liberal areas are all now vulnerable to them. ","I think it is very interesting that, when Mr Silvester was saying these things in 2012 and 2013 as a Conservative town councillor in Henley, it was not a news story.",2,No Relation,C,1,0,0,0
3869,We should create a United Nations standing army,A United Nations standing army is simply impossible to form,0,Attack,C,1,0,0,1
1315,Should ukip get into government it would be fair to assume that we'll see a whole raft of right-wing policies as actual government policy.,"Asked what he would do if the British people voted to remain in the EU, Mr Farage joked that he would have to get a proper job.",2,No Relation,C,0,0,1,1
1138,UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,Labour won more than 20% of the vote in Eastleigh in the 2001 and 2005 elections.,2,No Relation,C,0,0,1,1
3014,you are opening the door to a nonliteral explanation of the text,no it means that the word of god is internally consistentnonsense,1,Support,C,1,0,0,0
2165,It's a protest vote because (most) people know that UKIP will never net in power.,"And at by elections voters are not choosing a government - they can shout loudly and protest, safe in the knowledge that it won't change the person who lives in Downing Street.",2,No Relation,C,0,1,0,0
355,"There's an election next month, UKIP are campaigning on the streets right now, and candidate upon candidate keeps churning out ridiculous (often racist, sexist or homophobic) views.",The Croydon North and Middlesbrough polls were triggered by the deaths of MPs Malcolm Wicks and Sir Stuart Bell.,2,No Relation,C,0,0,1,1
3503,it is up to you argue with me or argue with the person you want me to be,it is up to you stop bringing up red herrings or arguing by personal attack or do not expect me to treat your posts with any less contempt than i have for most of what has been posted to this board,0,Attack,C,1,0,0,1
435,"UKIP are a fairly right wing group as I'm sure will become clear when they actually produce some policies other than the ""its all the eu's"" fault.","In 2010, the Conservatives came second in Eastleigh and now need a 3.6% swing to win.",2,No Relation,C,0,0,1,1
1344,UKIP are in with the City as much as the other three and I don't like the way they are whipping people up into a frenzy.,She may have deeply divided public opinion but despite her death many in the Conservative Party believe her legacy lives on.,2,No Relation,C,0,0,1,1
1242,"My observation is that UKIP often are reluctant to directly answer any questions of substance, which can be accounted for by the fact that they really have no policies.","Well, look, it is no good insulting a political party (UKIP) that people have chosen to vote for.",0,Attack,C,1,0,0,1
1274,"UKIP advocates for the UK leaving the European Union which would be a bad idea – but they are trying to leverage on the british people’s need to belong and pride to be british, which further sparks their anti-foreigner standpoint.",People would have to remain on Help to Work until they found employment.,2,No Relation,C,0,0,1,1
3353, evolution is the real deal, i believe there was some sort of evolution but the question is what made that evolution take place,1,Support,C,0,1,0,1
2226,It's a protest vote because (most) people know that UKIP will never net in power.,"All of which means the annual conference in Torquay in September is unlikely to be an easy experience for UKIP, as it searches for someone who does consider themselves good at party politics.",2,No Relation,C,0,0,1,1
437,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".",UKIP's 2010 manifesto called for Trident to be retained and ultimately be replaced by four British-built submarines armed with US missiles.,2,No Relation,C,0,0,1,1
3151,i really feel sorry for you,the history of the bible including its compilation by the early church is quite well known,1,Support,C,0,0,1,0
2246,UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,"The Lib Dem leader threw down the gauntlet to Mr Farage on Thursday, saying he was the right person to debate the issue of Europe with the UKIP leader.",2,No Relation,C,0,0,1,1
2549,icdesignas far as scientific findings go the numbers of evolution believing scientists is on a major decline,i think behe has made the case for obviousdesign within the cell and i dont think you will findanyone who could put it any more clear,1,Support,C,1,0,0,0
1736,"UKIP will lead the UK to independence from the oppressive EU, which is the only chance Britain has at restoring its former glory.","UKIP appears to have struck a chord with many voters on the issue of immigration, campaigning against the relaxation of working restrictions on Bulgarians and Romanians due to come into force in January.",1,Support,C,0,1,0,1
1939,The success Ukip had in the european elections will be sufficient to galvanise one or preferably all the other parties to rid us of the EU's political influence.,"UKIP, which has called for withdrawal from the European Union and greater restrictions on immigration, has seen improved poll ratings this year.",1,Support,C,0,1,0,1
2702, without a scientific definition of natural scientists cannot distinguish between natural explanations and supernatural ones,youre right much if not all of the claims about supernatural claimspremises of id make it invalid rest on some faulty views on what supernatural actually means,1,Support,C,0,1,0,1
3826,European Parliament elections should involve only one voting district all of Europe and not separate country seats,Some countries may be left without representation,0,Attack,C,1,0,0,1
692,"I and many others will be voting UKIP not because of a handful of people that have said stupid things, it will be because I identify and agree with their overarching principles.","UKIP used to be a protest vote, he explained, but now we are now talking about how Britain should be governed just to say that we are a protest vote simply isn't right.",1,Support,C,0,1,0,1
3304, read my comments and you will truly see the mistake and stupidity in evolution, yes yes yes the bible so contradicts that,1,Support,C,0,1,0,1
1683,If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.,Mr Cameron cited the government's Help to Buy Scheme - where the state guarantees mortgages for couples able to put down a 5% deposit - as evidence the government backed those on middle incomes and supported aspiration.,2,No Relation,C,0,0,1,1
2244,"The sooner we are out of the EU, the sooner we can start making this country great again.",UKIP leader Nigel Farage said the UK had no real control over either the number or the type of migrants that were settling from elsewhere in the EU.,1,Support,C,0,1,0,1
2458,in fact the history of life shows a pattern of explosions where new fossil forms come into existence without any clear evolutionary precursors concurring with design theory that predicts that species might appear abruptly,perhaps the author can explain why of all of the thousands of researchers in geology biology particularly evolutionary biologists and paleontology,1,Support,C,1,0,0,0
1853,UKIP is a vessel through which a protest is being delivered. ,"The Conservatives have argued the surge in support for UKIP was essentially a protest vote, but Mr Farage dismissed this as the default position of the political establishment.",0,Attack,C,0,1,0,0
2699,pvm  ask yourself this simple question how does id explain the bacterial flagella  it doesnt it merely calls it designed which is a placeholder for our ignorance as to how to explain the flagella,i asked ask yourself this simple question how does id explain the bacterial flagella it doesnt it merely calls it designed which is a placeholder for our ignorance as to how to explain the flagella,0,Attack,C,0,1,0,0
1025,Intellectually I rate Farage much higher than Cameron; he has a very sharp and quick wit and is an excellent public speaker.,"UK Independence party leader Nigel Farage has said he is expecting a big swing to his party in the seat, with most polls carried out in the seat putting the party third, ahead of Labour.",1,Support,C,0,0,1,0
3390, i believe in evolution, nothing in biology makes sense except in light of evolution,1,Support,C,0,1,0,1
