orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,correct
1944,UKIP's proposals on membership in the EU and migrants are at best purely demagogic: they do not take into account facts and more general issues.,"Foreign Secretary William Hague has meanwhile ruled out an electoral pact with UKIP, after a BBC poll suggested nearly 25% of Conservative councillors were in favour of such a deal.",1,Support,A,0,,,1
2995,so if god is not all powerful and all knowing then god is fallible,if you take a basic biology course at the high school level just a reminder biology is accepted by almost all religions regarding contentthere would be a detailed explanation of how life was created by chemical compounds and reactions,1,Support,A,0,,,1
3837,We should fear the power of government over the internet,Internet regulation is necessary to ensure a safe internet,0,Attack,A,1,,,1
1538,"Europe is no longer fit for purpose and we'd do better to be out than in, plus save a whole load of cash.","In a separate interview with BBC Radio 5 live, he warned of the possible consequences of an in-out referendum on the UK's relationship with the EU.",0,Attack,A,0,,,0
2652,the eonic website claims erroneouslythe one thing darwinists dont want to find is such a nonrandom pattern anywhere,secrets of the genome january   by john c,1,Support,A,0,,,1
1108,"On voting day, this week the vast majority of the British public will not vote for UKIP.","Following prolonged negotiations between the three political parties and BBC, ITV and Sky News ahead of the 2010 debates, strict rules were agreed on the style of questioning and the division of time for leaders' answers.",2,No Relation,A,0,,,1
2392,id is offered as an explanation for the complexity of life on earth which according to id proponents cannot be explained by random chance and survival of the fittest,on pandasthumb nick matzke whose contributions to dover v kitzmiller were instrumental in the stunning defeat of intelligent design and whose contributions to exposing the fallacies in behes arguments as well as the extent of ignorance of science amongst id proponents has caused much concern amongst id proponents so much that in general they have chosen to pretend in a typical creationist fashion that matzkes arguments do not exist,1,Support,A,1,,,0
2315,i surely intend to do so but these issues go beyond questions of policy,you said id has failed to contribute in any meaningful mannerwrong  newton pascal einstein and many others put stock in the id theory,0,Attack,A,1,,,1
2953,in  when questioned by clarence darrow william jennings bryan stood by the bible,creationist want god to be both all powerful and outside the physical forces he supposedly created,1,Support,A,0,,,1
2600,this rather poorly phrased term suggests that there may be an enigma but lets look at the apparent correlation between habitability and our existence as observers,we also investigate axis of evil aoe type anomalies which detect phase correlations between different multipoles in harmonic space,1,Support,A,0,,,1
478,"In fact, all UKIP seems to talk about now is withdrawl from the EU without any genuine policy around UK's domestic economy.","The penny is beginning to drop with the British people and British businesses that we are no longer a self-governing nation, and UKIP are here to solve our problems.",0,Attack,A,1,,,1
910,Intellectually I rate Farage much higher than Cameron; he has a very sharp and quick wit and is an excellent public speaker.,He said later that he expected a final decision on any disciplinary action against Mr Bloom to be resolved in a couple of weeks.,2,No Relation,A,0,,,1
3388, evolution is correct, people who believe that god created the earth keep saying that they got this from the bible,1,Support,A,1,,,0
2136,UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,"That did not mean he was going half-heartedly, he stressed, adding that it was a fantastic opportunity.",2,No Relation,A,0,,,1
1888,"I don't necessarily think Nigel Farage is worthy of PM, I think they need a new leader.",For Nigel Farage convincing his fiercest critics among UKIP's members and its estranged onetime supporters that he remains the right man to lead the party may be difficult.,1,Support,A,0,,,1
501,Should ukip get into government it would be fair to assume that we'll see a whole raft of right-wing policies as actual government policy.,"Party membership has historically been regarded as an important barometer of the health of democracy, while a strong activist base is important to help candidates campaign in elections.",2,No Relation,A,0,,,1
177,"The country faces more than two big issues, which is where Ukip come apart at the seams in an incoherent bunch of right wing horse shit from whatever Think Tank came along at the time.","It was the first time the Conservatives and the Lib Dems, as coalition partners, have gone head-to-head in a seat which was winnable for both.",2,No Relation,A,0,,,1
2044,UKIP doesn't need to win power to force the changes people want.,"We're not going to do a pact with UKIP anymore than I'm going to do a pact with the Lib Dems and go into the next election with them, said Mr Shapps.",0,Attack,A,1,,,1
919,I think a lot of UKIP supporters would be outraged if one of the consequences of leaving the EU was to price them out of buying virtually any of today's niceties.,"Clearly I would have preferred to get more votes but this was always going to be a tough fight for Labour, he said.",2,No Relation,A,0,,,1
3612,i find that very interesting that many christians are so loudly against abortion yet their own bible condones it,that is right everyone of the fundamentalists are on the band wagon about abortion being murder the same ones depend on their ministers to hail the words for the biblical scholars,1,Support,A,0,,,1
1461,"UKIP is not at all taking into account the financial effects of their only real policy, leaving the EU.","The charge put by its deputy leader David Campbell Bannerman when he defected to the Conservatives in the wake of the May elections was that UKIP remained, at heart, a single issue pressure group.",1,Support,A,0,,,1
3093,scientific evidence do you need i mean weve got writing from before  years ago evidence of mankinds making things over  years old,speaking as a nonchristian this argument that the days of creation could not be allegorical simply because the author used an ordinal and the phrase evening and morning is juvenile and unconvincing,1,Support,A,1,,,0
2848,you give interesting and complex answers,take your time id rather have you think about it digest it and respond than give a hasty response which would not help us resolve these issues,0,Attack,A,0,,,0
2369,pvm those are merely my opinions,i cannot argue with your opinions as to what you want to believe,0,Attack,A,0,,,0
216,"On voting day, this week the vast majority of the British public will not vote for UKIP.","Mr Wheeler, who has criticised David Cameron's attitude to the EU, said UKIP's success was vital.",0,Attack,A,0,,,0
730,If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,"We started with TV debates that were easy to agree, because they were quite controlled, Mr Cameron said.",2,No Relation,A,0,,,1
1390,It's a protest vote because (most) people know that UKIP will never net in power.,UKIP leader Nigel Farage told the Today programme that these plans were still far too generous.,2,No Relation,A,1,,,0
2256,UKIP want to get us out of the EU to make the British people much worse off then they already are.,"He also warned that if a proposed referendum led to the UK leaving the EU, there would be dire consequences for the country's global influence.",1,Support,A,0,,,1
1838,UKIP doesn't need to win power to force the changes people want.,Mr Fabricant said an electoral pact with UKIP - in which the Tories would promise a referendum on European Union membership after 2015 and in return UKIP would not stand against Tory candidates - could help the Conservatives win an extra 20-40 seats at the next election.,1,Support,A,0,,,1
956,If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,"The europhile claimed his former party has forgotten the legacy of Churchill, Macmillan and Thatcher, with the PM in terror of the right of his party.",2,No Relation,A,0,,,1
3020,andrew holt heres my take on your question,i apologise for the personal slant to the first part of my first question it was meant to be rhetorical,0,Attack,A,0,,,0
3961,this was just an amateurish hodgepodge of the departed the town and we own the night and sopranos,completely agree swing and a miss on this one kept waiting for something to happen maybe i wasnt in the right mood for it but it just didnt deliver at all more limp than month old lettuce,1,Support,A,0,,,1
3624,the fetus has never achieved conciousness let alone has known anything,well you get the idea,1,Support,A,0,,,1
900,Should ukip get into government it would be fair to assume that we'll see a whole raft of right-wing policies as actual government policy.,Fellow MEPs David Campbell Bannerman and Gerard Batten have also said they will contest a future election contest - expected to take place in November.,2,No Relation,A,0,,,1
3947,Transparency is necessary for security,Transparency helps reduce international tension,1,Support,A,0,,,1
2477,this whole argument is just using flaws in our definitions,needless to say even id proponents have come to realize that id is lacking scientifically speakingfor instance young earth creationist philosopher and id proponent paul nelson is on the record as saying easily the biggest challenge facing the id community is to develop a fullfledged theory of biological design,1,Support,A,0,,,1
2917,the debate here is false because both id and darwiniannatural selection theory are inadequate,teachers have no freedom to misinform and miseducate students,0,Attack,A,0,,,0
3030,the first problem with the debate question is that neither time nor space exists per se,one of the major problems that we all have in fact its the same problem adam and eve had in the garden of eden is that we tend to start from outside gods word and then go to what god has written in the bible orin adams casewhat god forbade him to do to try to interpret it on the basis of our own preset ideas,1,Support,A,0,,,1
3723,exercising is a matter of commitment and determination even though ten minutes a day are definitely good for you you would need a lot more to get fit,you will not get fit but of course that helps you keep in shape is it true that you burn  calories every ten minutes of fast walking,1,Support,A,1,,,0
1187,"UKIP are just another bunch of freeloaders, using peoples fears and prejudice to gain votes so that they can get their snouts into the trough.",In spite of the continuous talk of defections he is the closest they've come to someone who has a seat on the green leather benches at Westminster.,2,No Relation,A,0,,,1
1767,"Even a UKIP European candidate, Janice Atkinson, another ex-Tory, admits leaving the EU would be problematic.","While the number of immigrants arriving in the country remained virtually unaltered over the period, the increase was driven by a change in the number of people leaving Britain.",2,No Relation,A,0,,,1
18,Hopefully we will see our first UKIP MP before the general elections next year.,I frankly thought it was so funny that when a journalist friend rang me and I told them about it they said they would write the story.,2,No Relation,A,0,,,1
3262,wow,the flu virus doesnt evolve it mutates,0,Attack,A,0,,,0
449,"UKIP are a fairly right wing group as I'm sure will become clear when they actually produce some policies other than the ""its all the eu's"" fault.","I can understand the problems of ministers who are in austerity and who are contributing but I can easily find common language with people in Cornwall, Wales, and Northern Ireland for their projects.",2,No Relation,A,0,,,1
3355, we have similar dna to a cabbage is that just because god was having a good joke with his angel mates, evolution is true im a christian but im not in denial adam and eve is a load of sh   its probably meant to be symbolic and easy to understand for the people of the day remember that was over  years ago,1,Support,A,1,,,0
2776,of course the disco tute is the discovery of nonsense,by the logic of the antiidists the current theory of evolution is an atheistic theory because richard dawkins once stated it allows for one to be an intellectually fulfilled atheist,1,Support,A,0,,,1
3357, evolution is completely true darwin hit the nail right on the head when he defined the theory of evolution and the survival of the fittest understanding, evolution is simply the genetic change in populations of organisms over successive generations,1,Support,A,0,,,1
2646,it should readtruth is probably the best factor in determining intelligence and one cannot have it without gd,i think that is what is called a freudian slip,0,Attack,A,1,,,1
3695,i think nokia is reaching its end unless it adopts android,if windows gets their act together i do believe that nokia has one more chance at a comeback,0,Attack,A,0,,,0
2024,UKIP's sole aim at the general election is to get a smallish number of MPs elected but enough to hold the balance of power and do a deal with the Tories.,"Earlier this year, UKIP leader Nigel Farage said he was open to the idea of a pact but demanded a referendum pledge written in blood.",1,Support,A,0,,,1
1090,"The momentum is definitely with UKIP at the moment, hopefully that will continue with the up and coming by-elections.","Open-minded, doesn't throw abuse around and thinks issues through - he would be the right kind of person.",2,No Relation,A,0,,,1
3111,maybe get someone to do your studies who doesnt pay a tithe  someone who perhaps doesnt own a   bible  ,consider reading chance or purposeat any rate chance is an obviously derogatory word to try to bias the argument against   evolution   and purpose is obviously meant to imply that some intelligence is involved,1,Support,A,0,,,1
3990,i read the book which is subtle philosophical and nuanced at the beginning of the year and last night i watched the dvd of this film what utter rubbish the film is a boring sweary standard thriller,this film is a masterpiece it pains me that you consider it a mere simplistic thriller maybe you should watch it again a good five years from now,0,Attack,A,1,,,1
652,"I voted Tory for 30 years and started supporting UKIP because I want a sovereign, democratic , well governed Britain with Britain put first and its getting clearer by the day that the old Liblabcon parties will not do that.","On the whole it's been a good year, Farage says.",1,Support,A,0,,,1
2387,how did life begin ,saying there are experts on intelligent design is like saying there are experts on astrology,0,Attack,A,1,,,1
132,"On voting day, this week the vast majority of the British public will not vote for UKIP.",But Mr Farage admitted that on some policies his party may have got things wrong and this may hurt them at the polls.,1,Support,A,0,,,1
2038,"In UKIP, we have a new political force which looks likely to poll very well in a national election on thursday.","UKIP candidate Diane James came second with 11,571 votes, her 28% the party's best-ever showing in a Westminster election.",1,Support,A,1,,,0
170,"As far as immigration is concerned all Ukip want is a level playing field for non EU migrants and to control the numbers so, if anything, Ukip are too soft on immigration.",Certainly by the time of the general election UKIP will be the third-highest-membership party in Britain.,1,Support,A,0,,,1
700,"For many UKIP voters, it does not particularly matter what the party's policies are, but that UKIP is not Labour or Conservative.","The party's candidate, Mike Thornton, told reporters he thought he had won.",2,No Relation,A,0,,,1
74,A forensic examination of UKIP's policies would nail once and for all the Establishment lie that they're a bunch of swivel-eyed racists.,"Asked whether some UKIP members were closet racists, he added that the truth is some UKIP members are.",0,Attack,A,0,,,0
1512,UKIP's proposals on membership in the EU and migrants are at best purely demagogic: they do not take into account facts and more general issues.,"In their leaflets, UKIP says that 29 million Bulgarian and Romanians will have the right to live, work and draw benefits in the UK and while many will be fine, hard-working people, suggests the country may struggle to cope with another influx of people needing jobs, housing schools, hospitals and benefits.",2,No Relation,A,0,,,1
627,Big business will not support UKIP given the devastation that withdrawal from the EU would cause.,But Conservative Party chairman Grant Shapps said it had been blocked.,2,No Relation,A,1,,,0
3378, i think you will find that there is a vast amount of evidence for evolution if you would care to look, being an atheist in a catholic school i can tell you that catholicism or christianity does not dispel the idea of evolution,1,Support,A,0,,,1
393,I suspect when people do start to focus and the election is close UKIPs incoherent policies will be exposed.,He stepped aside as leader to allow himself more time to fight the Speaker of the House of Commons John Bercow for his Buckingham seat at the general election.,2,No Relation,A,0,,,1
3657,should visited and joined be the same,no joined is the date a user registered to the website and visited is the date of hisher last visit do you think the names are not clear,0,Attack,A,0,,,0
16,"The People's Army is on the march and UKIP will get Britain back from the Liblabcon, Establishment and MSM political abusers of our country.",He said he had been impressed by David Cameron's leadership while UKIP was beset by internal fighting and was not a credible political force.,0,Attack,A,1,,,1
3631,it is my understanding that the rules are if you are banned you can not simply create a new id and return under it this happened when terral was banned and returned using a new id,oh thanks for pointing that out i did not recall reading that rule but it certainly makes sense,1,Support,A,0,,,1
1192,"If you want an insight into just how mad and bad UKIP are, go and read what their members, candidates and supporters write on the Telegraph.","Downing Street has said Conservative MPs will be under a three-line whip, the strongest order a party can give, to support it.",2,No Relation,A,0,,,1
1833,"If UKIP want to retain these voters and attract more in a general election then they need to come up with policies other than ""leave the EU"" and ""its all the immigrants fault"".",UKIP has evolved over the two decades since it was created from an anti-EU pressure group into a fully fledged party which has now proved that it can succeed beyond European elections.,0,Attack,A,1,,,1
3940,We should force think tanks to reveal all of their sources for resource funding,Think tanks should be able to choose not to know who funds them,0,Attack,A,1,,,1
2747,when the supreme court formulated valid secular purpose which is not a sham the court unlikely believed that any future unstated secular purpose would be sufficient for something to pass this requirement,discovery institute amicus curiae briedvalid secular purposes for teaching students about the theory of intelligent design include   informing students about competing theories of biological origins as  they exist within the scientific communitythere are no competing theories of biological origins certainly id provides none  helping students to better understand neodarwinism by  understanding a theory with which it competesagain there is no competing theory of id,1,Support,A,0,,,1
122,"The core of UKIP seem pretty much right wing, so you can expect those polices to be similar to the current conservative ones which will drive the left leaning voters away in droves. ",He rejected suggestions that calls to scrap Trident had appeared at one stage on the party's official website.,2,No Relation,A,0,,,1
1368,"As far as immigration is concerned all Ukip want is a level playing field for non EU migrants and to control the numbers so, if anything, Ukip are too soft on immigration.","It is a simple, understandable message, which has led to the party gaining bigger shares of the votes in European elections.",1,Support,A,0,,,1
1036,I would hazard that it’s UKIP’s appeal to tradition and “British values” that appeals – it’s a cosy reimagining of a glorious past and taps into the Little England mentality of a large swathe of tory supporters.,Former prime minister Gordon Brown told the Labour Party conference in 2007 that the government would be drawing on the talents of all to create British jobs for British workers.,2,No Relation,A,1,,,0
222,Should ukip get into government it would be fair to assume that we'll see a whole raft of right-wing policies as actual government policy.,"Mr Hancock's comments are totally, utterly meaningless rubbish, while we remain part of the EU's single market, he told the BBC News Channel.",2,No Relation,A,0,,,1
2174,"UKIP will lead the UK to independence from the oppressive EU, which is the only chance Britain has at restoring its former glory.","In contrast, the Liberal Democrat's Bill Newton Dunn quit the Tories in protest at its increasing hostility to Europe.",0,Attack,A,1,,,1
1840,"UKIP is not an isolated phenomenon: France has Le Pen, Germany has AfD, and all of these have in common that they are nationalist, anti-European, and more right than mainstream conservative parties.","Conservative party vice chairman Michael Fabricant said the party had struggled to present a distinctive message during the Eastleigh election, saying UKIP had managed to connect with traditional blue-collar Tory voters on issues such as crime and immigration in a way the Conservatives had not.",2,No Relation,A,0,,,1
3781,it should be blue,blue is a good colour,1,Support,A,0,,,1
79,"I and many others will be voting UKIP not because of a handful of people that have said stupid things, it will be because I identify and agree with their overarching principles.",Like all local election results these will be endlessly interpreted by the pundits.,2,No Relation,A,0,,,1
4015,in my opinion full metal jacket was way better full metal jacket was at least fair i spoke to a lot of guys that told me thats the way it was,no platoon was the better movie,0,Attack,A,1,,,1
3501,that is really simplified it is not like a woman body is a suitcase and the fetus is biologically selfreliant,picture an astronaut connected to a spaceshuttle without that cord he wouldnt be able to live so is he really able to live on his own or is he depending on something else to live i really do not see your point,0,Attack,A,1,,,1
891,Cameron had it right and UKIP could tip the balance towards Labour in the crucial marginal seats in the GE where the battle will take place .,"I'm not sure perhaps at the beginning we got across to people that this was about marriages that could take place in register offices, that this was not going to change what happened in church, mosques or synagogues.",2,No Relation,A,0,,,1
1761,"The country faces more than two big issues, which is where Ukip come apart at the seams in an incoherent bunch of right wing horse shit from whatever Think Tank came along at the time.","The responsibility of politicians in this situation when people are getting anxious is to try to reassure them and give the facts, not panic and resort to populist measures that do harm.",1,Support,A,1,,,0
347,"UKIP advocates for the UK leaving the European Union which would be a bad idea – but they are trying to leverage on the british people’s need to belong and pride to be british, which further sparks their anti-foreigner standpoint.","At about 14:00 BST, UKIP leader Nigel Farage announced that Mr Patel, who arrived in the UK in 1972 after fleeing Idi Amin's regime in Uganda, was running for the party.",2,No Relation,A,0,,,1
2496,behe claims that they can bring together separate components and place them in relationship to each other to create an effect that may be extremely unlikely to occur by chance,and worse during the dover trials the judge came to conclude that based on the evidence presentedjudge joneswe will now consider the purportedly positive argument for design encompassed in the phrase used numerous times by professors behe and minnich throughout their expert testimony which is the purposeful arrangement of parts,1,Support,A,0,,,1
4038,i cant believe that a great film like this can receive such a low rating while the likes of shawshank redemption and batman sit comfortably in the top  list of the entire website,i understood the film just thought it was poorly done,0,Attack,A,1,,,1
565,I think a lot of UKIP supporters would be outraged if one of the consequences of leaving the EU was to price them out of buying virtually any of today's niceties.,"If you want to have a managed migration policy, you cannot remain a member of the European Union.",0,Attack,A,1,,,1
294,"It's true that UKIP dont have ideas to suit everyone, but at the moment they are heads above the pillocks at No 10 today.","A UKIP spokesman said Mr Hamilton's actions were those of a proper Conservative, who is concerned about his country's relationship with the EU.",2,No Relation,A,0,,,1
3277,faith is believeing in something without evidence,evolution has actually never been observed,0,Attack,A,0,,,0
1025,Intellectually I rate Farage much higher than Cameron; he has a very sharp and quick wit and is an excellent public speaker.,"UK Independence party leader Nigel Farage has said he is expecting a big swing to his party in the seat, with most polls carried out in the seat putting the party third, ahead of Labour.",1,Support,A,0,,,1
304,The folk who are turning to UKIP are the ones fed up with being told what they can and can't say by the PC brigade.,"For rights reasons, David Cameron's Christmas card is not featured.",2,No Relation,A,0,,,1
1216,"The UKIP mainstay vote is in normal working people because they never voted for 4 million immigrants, they never voted for Multiculturalism.","They support us working class folks, so I was delighted to cast my vote for [UKIP leader] Nigel Farage's team in Sussex, where I live, said Lynam.",1,Support,A,0,,,1
3506,so in other words what you are saying is that the pope who just declared that all christian churches apart from the rcc to be false churches,is he anti gay yes so they are all in the same boat and cut from the same hate filled homophobic bigoted christian cloth,0,Attack,A,1,,,1
1775,"UKIP is a not a real party, with a clear global ideology and vision addressing all aspects of society: it is focusing on a handful of issues (all centered around membership in the EU and migrants), mostly ignoring global financial issues, health, education, security etc.","In their leaflets, UKIP says that 29 million Bulgarian and Romanians will have the right to live, work and draw benefits in the UK and while many will be fine, hard-working people, suggests the country may struggle to cope with another influx of people needing jobs, housing schools, hospitals and benefits.",2,No Relation,A,0,,,1
1824,I would hazard that it‚Äôs UKIP‚Äôs appeal to tradition and ‚ÄúBritish values‚Äù that appeals ‚Äì it‚Äôs a cosy reimagining of a glorious past and taps into the Little England mentality of a large swathe of tory supporters.,"Conservative chairman Baroness Warsi said the result was disappointing for her party, although not unexpected.",2,No Relation,A,0,,,1
3473,science has managed to show that life and non life are not distinct and are indeed simply a continuium of molecular complexity and function,you have got to be kidding me this has got to be one of the absolute dumbest things i have heard you are truly one confused individual if you can not tell there is a distinct difference between a living thing and a non living thing that nonliving things are missing something that living things have,0,Attack,A,1,,,1
1303,"The only people who should be voting for UKIP are Conservatives who believe that the Conservative Party isn't defending the rich enough, or that the Conservative Party isn't denying global warming enough.","'We will not rest until we've expelled every last corporate bloodsucker from our NHS, Ms Bennett said.",2,No Relation,A,0,,,1
2058,"UKIP is a party stronger for its diverse opinions and sometimes anarchic views; much better than the automatons in the Establishment parties, who just say what they think the public wants to hear, except when the mask slips.",And they also seemed very thankful to have the colourful Nigel Farage back as party leader.,1,Support,A,0,,,1
3966,animal kingdom is better than the town and winters bonei have just seen animal kingdom and wow what an awesome movie it was,i completely agree with you its such a shame animal kingdom wont recieve the recognition it deserves during awards season just because it isnt a big hollywood film,1,Support,A,0,,,1
3786,the best way to protect Scottish interests in the EU is to vote for independence,Scottish independence might be a faster route out of the EU than a referendum,0,Attack,A,0,,,0
3667,the wall thickness x should be five millimeter,this wall thickness is too thin,0,Attack,A,1,,,1
2999,you cant prove anything using that same thing you have to use evidences outside of that,there is no proof that there even exists a god to begin with so in that case you cant really use that either,0,Attack,A,0,,,0
2114,"UKIP is a not a real party, with a clear global ideology and vision addressing all aspects of society: it is focusing on a handful of issues (all centered around membership in the EU and migrants), mostly ignoring global financial issues, health, education, security etc.",Mr Farage has successfully broadened UKIP's appeal away from Europe.,0,Attack,A,1,,,1
2710,if id is bait and switch then so is   evolution   considering that its proponents tend to sell it off starting with the least extreme definition and just move on up from there  httpintelligentdesign,in science testing a hypothesis or theory means deriving predictions from them,1,Support,A,0,,,1
113,"If UKIP have a good general election and manage to take a few seats then that can only benefit Labour, because all of the seats that UKIP can possibly, conceivably win - well they are all Tory seats.","After a lengthy fight between the Commission and member states, including the UK and France, the 2011 budget increase was capped at 2.91%.",2,No Relation,A,0,,,1
913,The current smear strategy against UKIP is not pulling people back but pushing them towards UKIP and if this carries on then things are going to be a lot tighter by the time the general election comes.,"In opposition, David Cameron said the Tories would reduce the figure from a peak of about 250,000 under the previous Labour government to the tens of thousands.",2,No Relation,A,0,,,1
3118,july  william jennings bryan the leading fundamentalist in america was questioned by clarence darrow on the accuracy of the bible,if the   bible   is to be taken literally then wouldnt a literal interpretation include a literal interpretation of genesis,1,Support,A,1,,,0
1981,"The sooner we are out of the EU, the sooner we can start making this country great again.","Over three million jobs in this country, directly or indirectly, depend on us being in the EU, so that is a big choice.",0,Attack,A,1,,,1
3924,US intervention in Libya lacking congressional approval was illegal,The intervention was necessary in order to protect US interests in the region,0,Attack,A,1,,,1
1683,If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.,Mr Cameron cited the government's Help to Buy Scheme - where the state guarantees mortgages for couples able to put down a 5% deposit - as evidence the government backed those on middle incomes and supported aspiration.,2,No Relation,A,0,,,1
874,A vote for UKIP would be a vote for a Tory-UKIP alliance that would be more right-wing than a Tory government.,UKIP says it is campaigning on a pro democracy message - aiming to rejuvenate local politics.,0,Attack,A,0,,,0
1055,"The UKIP mainstay vote is in normal working people because they never voted for 4 million immigrants, they never voted for Multiculturalism.","Every person who joins, and particularly when they join online, automatically receives a welcoming letter.",2,No Relation,A,0,,,1
2093,UKIP want to get us out of the EU to make the British people much worse off then they already are.,Mr Crowther said the phrase should not have been used and was lazy and old-fashioned.,2,No Relation,A,0,,,1
3656,there is a spelling error on the page after you have registered saying to verify your account by email ,thank you for your feedback it has been fixed now,0,Attack,A,1,,,1
33,A vote for UKIP would be a vote for a Tory-UKIP alliance that would be more right-wing than a Tory government.,"UKIP also backed a flat rate tax, favouring the well off, although they admitted that the party was having an internal debate about whether this should have two-tiers.",1,Support,A,0,,,1
3245,intelligent design doesnt refute evolution,evolution may not have been perfect when it was first thought up but it was still pretty damn good,1,Support,A,0,,,1
2224,"Despite you best efforts at pretending otherwise, UKIP are still widely disliked and untrusted by the majority of the population.","Mr Cameron once described UKIP as a party of fruitcakes, loonies and closet racists.",1,Support,A,0,,,1
2607,remember this is about islands claim and carters arguments,islandpvm sayslets see what we can track down via wikipedia which is always a good start for any researchnot where this subject is concerned,1,Support,A,1,,,0
1476,People are not voting for UKIP because of immigration propaganda but because of their direct experience of immigration.,"With Tory MPs anxious about the march of UKIP and immigration high on voters' list of concerns, many believe that kite has been crafted in Downing Street.",2,No Relation,A,1,,,0
1846,"The whole UKIP-for-the-working-class narrative is utterly insane since, if we left the EU, the poor would still be competing with cheap foreign labor.","In contrast, the Liberal Democrat's Bill Newton Dunn quit the Tories in protest at its increasing hostility to Europe.",2,No Relation,A,0,,,1
3178,i agree totally with what you said cerin,the theory behind evolution is not that an organism evolves during its lifetime but that the species evolves over thousands if not millions of years or generations,0,Attack,A,0,,,0
2425,in order to better understand intelligent design it is important to appreciate how it abuses and conflates terminologies,how does science explain information in life versus intelligent design proponents and why do id proponents misrepresent science when describing for instance neodarwinismcasey luskin writesproponents of neodarwinism contend that the information in life arose via purposeless blind and unguided processes,1,Support,A,0,,,1
628,UKIP are in with the City as much as the other three and I don't like the way they are whipping people up into a frenzy.,Farage admitted the party had not had time to properly vet all of its new recruits and he was forced to suspend a handful of them following newspaper reports of alleged racist comments.,1,Support,A,1,,,0
2125,"As far as immigration is concerned all Ukip want is a level playing field for non EU migrants and to control the numbers so, if anything, Ukip are too soft on immigration.",Co-author Peter Bone said such measures would win back voters from UKIP.,2,No Relation,A,0,,,1
1869,"The whole UKIP-for-the-working-class narrative is utterly insane since, if we left the EU, the poor would still be competing with cheap foreign labor.","Conservative party vice chairman Michael Fabricant said the party had struggled to present a distinctive message during the Eastleigh election, saying UKIP had managed to connect with traditional blue-collar Tory voters on issues such as crime and immigration in a way the Conservatives had not.",2,No Relation,A,1,,,0
2042,"UKIP is a not a real party, with a clear global ideology and vision addressing all aspects of society: it is focusing on a handful of issues (all centered around membership in the EU and migrants), mostly ignoring global financial issues, health, education, security etc.",Mr Farage has successfully broadened UKIP's appeal away from Europe.,0,Attack,A,1,,,1
629,The people and media that are criticising UKIP are highlighting the genuine concerns about UKIP and their policies towards immigrants.,"It is a long overdue step in the right direction to bringing the NHS back round to what it was set up to be, a national health service, not an international service.",2,No Relation,A,0,,,1
2259,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.","I was delighted to cast my vote for [UKIP leader] Nigel Farage's team in Sussex, where I live, said Lynam.",1,Support,A,0,,,1
