arg1,arg2,support,support_label,type,orig_idx,relevance human labeled
UKIP are in with the City as much as the other three and I don't like the way they are whipping people up into a frenzy.,Legislation in 1999 ended the link between holding a hereditary peerage and being a member of the Lords.,2,No Relation,web,851,0
We should grant politicians immunity from prosecution,Politicians should be able to make difficult decisions without fear that selecting one option will lead to their incarceration,1,Support,idebate,3808,0.5
People are not voting for UKIP because of immigration propaganda but because of their direct experience of immigration.,"UKIP says it is particularly well-organised in the South-East, Eastern region and South-West, but there are still significant parts of the country where no UKIP candidates are standing at all.",2,No Relation,web,1412,0
UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,"But he said any future deal with the Conservatives would be difficult, as he claims David Cameron opposes a full, free and fair vote.",2,No Relation,web,606,0.25
We should create a United Nations standing army,A United Nations standing army would be more effective in operations themselves,1,Support,idebate,3867,0.25
"If UKIP don't like being smeared, then they need to stop smearing, stigmatising, and fear mongering about others.",The by-election was called after former Lib Dem cabinet minister Chris Huhne resigned as an MP following an admission he had perverted the course of justice over driving licence points.,2,No Relation,web,1,0
"The problem with popularism but no substance, like UKIP represent, is that it just results in things getting worse and worse.",And inside the hall there was the kind of buzz that I have not seen for some time.,2,No Relation,web,550,0
you missed montys point catholics are christians i have heard that there are more than  different sects that claim to be christian including orthodox christians and various and sundry protestant sects,this is correct it is almost insulting to regard people as either a christian or catholic as this also implies that orthodox are neither,1,Support,IAC,3583,0.75
charles darwin wrote about the theory of biological evolution not antievolution just because the word anti is in front of something it does not make it correct mate,actually im not sure its been proven,0,Attack,IAC,3210,0.25
the problem with the catholic church is that it has been unable to disagree with any scientific theory ever since they got burned condemning galileo,funny how being completely wrong about the earth revolving around the sun can make the catholic church a bit gun shy about claiming that   science   is incorrect without evidence to back it up,0,Attack,IAC,2637,0.5
 wow, evolution is still happening,1,Support,IAC,3426,0
take your time id rather have you think about it digest it and respond than give a hasty response which would not help us resolve these issues,the following statement by the employee of ncse is the exact form of inference to the best explanation that id scientists use to demonstrate that there is intelligence behind life,0,Attack,IAC,2849,0.25
"UKIP advocates for the UK leaving the European Union which would be a bad idea – but they are trying to leverage on the british people’s need to belong and pride to be british, which further sparks their anti-foreigner standpoint.","UKIP, which has called for withdrawal from the European Union and greater restrictions on immigration, has seen improved poll ratings this year.",2,No Relation,web,2145,0.25
It is because of UKIP that we are finally discussing the European question and about immigration and thank goodness for that.,Following UKIP's pressure the government committed itself to holding a comprehensive and detailed review of the extent of EU powers and their impact on the UK in its 2010 coalition agreement.,1,Support,web,397,0.5
"If UKIP took all their anti-establishment guff and turned it on the banks and financial institutions then they would have more legitimacy, but instead they turn on Polish and Roma fruit pickers who do unskilled work for minimum wage.","On Friday the Advertising Standards Authority (ASA) announced that it was investigating, following 60 complaints, a scheme which saw vans drive through London calling on illegal immigrants to go home or face arrest.",1,Support,web,1867,0.25
here is irons response to the so called rebuttalreply to rebuttalby peter ironsthe pages of a respected law review are rarely filled with such pejorative terms as smear and innuendo poisoning the well and personal attacks,you lost the case  get over it,0,Attack,IAC,2767,0
do you believe that you will hear an understanding of god that you have not heard before or are you of the belief you are openminded on the subject and might well have an epiphany,what possible concern is any of that to you some actually search for knowledge through debate this is a debate forum if you recall do not play if you are not so inclined but to post warnings not to fall in this trap come on,0,Attack,IAC,3544,0.25
we must be prepared to take account  of the fact that our location in the universe is necessarily privileged to the extent of being compatible with our existence as observersand even that formulation has been taken apart by rudolf haller in his book nonexistence and predicationunderstanding is the first step towards formulating a workable hypothesis and popularization thereof,science of course has tested the principle even though for a long time it stood as an assumption,1,Support,IAC,2598,0
paulunfortunately a review of the entire corpus of actual scientific journal articles reveals an inconvenient truth the socalled empirical scientific truths of intelligent design creationism seem to be entirely missing,to sneer at aynrandinstitute and ayn rands philosophy is to fail to address the growing primary reason why people are deciding god is not an explanation of anything,1,Support,IAC,2655,0.25
If there are enough Ukip votes it should frighten all the parties sufficiently to make them realise they can't just ignore the electorate.,He told the meeting the policy had been dreamed up by the Conservatives because they were scared of UKIP.,1,Support,web,1520,0.25
We should use torture to obtain information from suspected terrorists,Allowing torture under any circumstances will allow the prospect of its routine use,0,Attack,idebate,3876,0.75
 the one that suits its current environment surveys and grow up to breed, evolution is an embarrassment to science,0,Attack,IAC,3316,0
We should grant politicians immunity from prosecution,Giving politicians immunity from prosecution allows them to focus on performing their duties,1,Support,idebate,3807,0.5
"UKIP are an independent party and have shown that their appeal is broad, making big dents in staunchly Labour voting areas as well as the recent bi-election successes.","Addressing party members in Birmingham, he predicted UKIP would cause a political earthquake - particularly now that the EU leaders' desire for a fully federal Europe was out of the bag.",1,Support,web,1295,0.25
"The UKIP party is a populist party at the right end of the spectrum, which exploits people's fears of the foreign and unknown.","The private members bill, from Tory MP James Wharton, paves the way for an in-out referendum on the EU in 2017.",2,No Relation,web,81,0.25
in order to better understand intelligent design it is important to appreciate how it abuses and conflates terminologies,how does science explain information in life versus intelligent design proponents and why do id proponents misrepresent science when describing for instance neodarwinismcasey luskin writesproponents of neodarwinism contend that the information in life arose via purposeless blind and unguided processes,1,Support,IAC,2425,0.5
"Arguably, UKIP & co. aspire to destroy the culture created in Europe after WWII, which has been based on openness, free travel, migration and cross-geographic access to goods and labour markets.",The Lib Dem leader suggested both he and his Labour counterpart Ed Miliband backed having three debates over consecutive weeks before polling day.,2,No Relation,web,1269,0
barcelona it is the most beautiful city in spain and probably in europe ,barcelona is fantastic beautiful place and friendly people,1,Support,Quaestio-it,3712,0.25
UKIP getting a large chunk of the vote in the EU elections sends a message to Europe that they cannot take the UK membership for granted.,"The DUP, which has the most MPs of any Northern Ireland party, is backing the retention of First Past The Post.",2,No Relation,web,2078,0
UKIP are the only party willing to have a sensible open debate on the key issues affecting the country. ,The group suggest that within five years UKIP will have more members than the Tories at the current rate of attrition.,1,Support,web,1676,0.25
If you want to understand why UKIP is extreme look at the extreme elements it attracts including far-right Hitler-apologists like retep and anti-semites like your friend in Stocksbridge.,He has also rewritten the lyrics of Stephen Sondheim's Send in the Clowns in a tongue-in-cheek retort to Ken Clarke's description of UKIP members.,2,No Relation,web,1357,0.25
"UKIP do not bear scrutiny either as a coherent policy offer or a group of potential ministers , they are an insurgent party of protest with one message.",Mr Cameron dismissed UKIP's showing as a protest by voters and promised to stay true to his principles.,1,Support,web,2197,0.25
oh and i see you are still equating atheist with anyone who does not believe as i do,and i see you still flip back and forth from being an atheist to not being an atheist,0,Attack,IAC,3495,0.5
We should fear the power of government over the internet,Internet governance is necessary to combat heinous crimes committed via the internet,0,Attack,idebate,3838,0.75
UKIP are a joke outfit full of small-minded Neanderthals who think the 1950s are the future.,"UKIP appears to have struck a chord with many voters on the issue of immigration, campaigning against the relaxation of working restrictions on Bulgarians and Romanians due to come into force in January.",0,Attack,web,1663,0.5
"Any of the ""working class"" who believe UKIP will represent them have not read a UKIP manifesto!",Prime Minister David Cameron has said there may be a case for a public vote on Europe at some point but he did not believe a simple in-out referendum on the UK's membership was what most people wanted to see.,2,No Relation,web,1084,0
"If we leave the EU we will save billions of pounds which can then be invested in our ailing national infrastructure, notably the NHS.","Over three million jobs in this country, directly or indirectly, depend on us being in the EU, so that is a big choice.",0,Attack,web,2187,0.5
"UKIP advocates for the UK leaving the European Union which would be a bad idea ‚Äì but they are trying to leverage on the british people‚Äôs need to belong and pride to be british, which further sparks their anti-foreigner standpoint.","UKIP appears to have struck a chord with many voters on the issue of immigration, campaigning against the relaxation of working restrictions on Bulgarians and Romanians due to come into force in January.",0,Attack,web,1697,0.25
if we dont know then no one can say that a designer was not involved or not required, joeif we dont know then no one can say that a designer was not involved or not required,0,Attack,IAC,2618,0.25
 there is positive evidence against macroevolution, there is eye witness reproducable evidence for micro evolution or change within a species which is irrefutable,1,Support,IAC,3417,0.25
"The whole UKIP-for-the-working-class narrative is utterly insane since, if we left the EU, the poor would still be competing with cheap foreign labor.","Conservative party vice chairman Michael Fabricant said the party had struggled to present a distinctive message during the Eastleigh election, saying UKIP had managed to connect with traditional blue-collar Tory voters on issues such as crime and immigration in a way the Conservatives had not.",2,No Relation,web,1869,0.5
 i believe in evolution evolution is the mechanism that some species of animals and plants use to adapt to certain circumstances do to the change, there are lots of proofs that show evolution is not at all a proper scientific law which can give a perfect explanation to human appearance,1,Support,IAC,3326,0.5
the dangers of creationism in education,ken ham,0,Attack,IAC,2308,0
"UKIP's position is not reasonable, but racists and proto-fascist, considering they have nothing to say about the finance capital bombing of the economy, but to put all the blame for Europe's woes onto immigration.","Mr Campbell Bannerman, one of UKIP's 12 MEPs in the European Parliament and deputy leader, lost out to Nigel Farage in a leadership contest in November.",2,No Relation,web,1620,0
The International Criminal Court should be recognised,The ICC generates crippling expenses,0,Attack,idebate,3897,0.5
i apologize for using misleading wording,prototypic should read phenotypic,1,Support,IAC,2527,0.25
"There's an election next month, UKIP are campaigning on the streets right now, and candidate upon candidate keeps churning out ridiculous (often racist, sexist or homophobic) views.","Other parties standing included the Trade Unionist and Socialist Coalition, which fought 120 seats, the BNP, with 99 candidates and the English Democrats, with 38 candidates.",2,No Relation,web,403,0.25
do you know that there is a god youre  on this,i am confident there is a god,0,Attack,IAC,2450,0.25
"UKIP is neither left or right wing, it is anti establishment, but it does take some elements from both sides of the spectrum",But Mr Cameron dismissed UKIP's showing as a protest by voters and promised to stay true to his principles.,0,Attack,web,1612,0
"The sooner we are out of the EU, the sooner we can start making this country great again.","Since 2003, Mr Bown has given more than Â£1m to UKIP to help it fight elections and mount campaigns against Britain's membership of the EU.",1,Support,web,1041,0
If UKIP are wise they will alter their attitude about the NHS and public services in general.,"Many hospitals are overburdened with long waiting times and do not want to act as immigration officials while the NHS is already buckling under the weight of administration, Tim Aker, the head of the party's policy unit said.",0,Attack,web,296,0.5
icdesigni think behe has made the case for obvious design within the cell and i dont think you will findanyone who could put it any more clear,hi pvm they finally got things straightened out,0,Attack,IAC,2547,0.25
It's a protest vote because (most) people know that UKIP will never net in power.,"He said the UK should quit the EU, with the referendum being moved forward.",2,No Relation,web,1465,0.25
"The sooner we are out of the EU, the sooner we can start making this country great again.",And that is because we are talking about issues that the other parties would like to brush under the carpet.,2,No Relation,web,987,0.5
If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.,Voters go to the polls on Thursday.,2,No Relation,web,1142,0
Plenty of survey's have shown UKIP to be the most hated of the main parties.,But they tried to make it a conference about more than just Europe.,2,No Relation,web,143,0.25
the bible is true because the bible says so is incredibly juvenile logic,everything i say is correct regardless of logic or evidence that attempts to prove me wrong,1,Support,IAC,3045,0.25
whats there left to do,you mean ones like wmap shows that we are at the center of the universe or the quote of carterwell i realize that one does remain the goldilocks enigma is a falsifiable observation that makes testable predictionsas i already explained though observations are seldomly falsified as they are based on observed data,1,Support,IAC,2609,0
"Despite their best efforts at pretending otherwise, UKIP are still widely disliked and untrusted by the majority of the population.","I'm odd in the sense that I'm a conviction politician, I'm not doing this for a career, or for rank opposition.",2,No Relation,web,1341,0
it doesnt need to be proven as there is no underlying math in physics there is,ive studied a lot of biology and to me evolution has indeed been proved,1,Support,IAC,3198,0.25
correction its an ancestor of both chimpanzees and humans,oh boy here we go again,1,Support,IAC,3182,0
"Arguably, UKIP & co. aspire to destroy the culture created in Europe after WWII, which has been based on openness, free travel, migration and cross-geographic access to goods and labour markets.",One Conservative MP has suggested his party consider a pact with UKIP at the next election.,2,No Relation,web,1870,0
 i dont attempt to defend either intelligent design or creationism, b tr  tr valigntop ,1,Support,IAC,3406,0
UKIP are not rabid racist and not another incarnation of the BNP.,"Because what we have done, we have thrown clothes off and they have picked them up and put them on.",2,No Relation,web,221,0
"Ukip has British values, wants to get British industry kick started back to the fore front again, become more self-sufficient.","He also warned that if a proposed referendum led to the UK leaving the EU, there would be dire consequences for the country's global influence.",0,Attack,web,1974,0.5
I think a lot of UKIP supporters would be outraged if one of the consequences of leaving the EU was to price them out of buying virtually any of today's niceties.,"Mr Farage says he will give up as leader if UKIP doesn't win seats at Westminster at next year's general election, where he would represent all of the British people.",0,Attack,web,993,0
because   science   as we know it today can only answer one of them,why not what qualities does the designers have that make them beyond studynot being able to directly observe it,0,Attack,IAC,2521,0
i dont really believe in the supernatural unless you wanted to say that the first cause behind the big bang is beyond the observable world and therefor supernatural,but where does that leave id  without a theory for the designer then that aspect remains unknown and would thus be called supernatural,0,Attack,IAC,2705,0.25
the christian faith is a mockery to humankind,first even as a biblebelieving creationist i want to say thanks for bring attention to genesis ,0,Attack,IAC,3157,0.25
"The problem with popularism but no substance, like UKIP represent, is that it just results in things getting worse and worse.","The EU's Budget Commissioner said projects in Wales, Cornwall, Northern Ireland and elsewhere must be honoured.",2,No Relation,web,491,0
UKIP are in no way a single issue party and if Labour or the Conservatives were to give us a referendum UKIP would still have a full manifesto that would attract many voters.,He told the BBC that he has not proposed a pact with anybody and insisted the speculation was coming from members of the Conservative party who are saying 'we must do a deal with UKIP'.,2,No Relation,web,2210,0
highlanderthe exact same is true when modern science reveals an ic structure such as the flagellar motor  assembly,highlanderi am sure that highlander is familiar with the  foundational works of behe and dembskiboth rely on the absence of science being  able to explain a particular feature to infer design,1,Support,IAC,2329,0.25
"Whatever you think of UKIP, you've got to admit that Farage is a superb speaker.","He's very outspoken - even the people who don't share his message think that he's a great speaker and fun to listen to, says Soini.",1,Support,web,1666,0.75
UKIP isn't committed exclusively to either right-wing or left-wing ideology and that’s a very good place to be.,He said UKIP was clearly taking a very right wing position which pandered to an obvious anti-Europeanism.,0,Attack,web,1978,0.5
"UKIP is not at all taking into account the financial effects of their only real policy, leaving the EU.","The charge put by its deputy leader David Campbell Bannerman when he defected to the Conservatives in the wake of the May elections was that UKIP remained, at heart, a single issue pressure group.",1,Support,web,1461,0
