timestamp,git_commit,model,strategy,few_shot_n,dataset_file,limit_config,batch_size,delay_seconds,max_retries,n_evaluated,ground_truth_count_attack,ground_truth_count_support,ground_truth_count_no_relation,predicted_count_attack,predicted_count_support,predicted_count_no_relation,accuracy,true_positive_attack,false_positive_attack,false_negative_attack,true_negative_attack,true_positive_support,false_positive_support,false_negative_support,true_negative_support,true_positive_no_relation,false_positive_no_relation,false_negative_no_relation,true_negative_no_relation,precision_attack,precision_support,precision_no_relation,recall_attack,recall_support,recall_no_relation,f1_score_attack,f1_score_support,f1_score_no_relation,macro_f1,comment
6/8/26 16:56,f8481d5,gemma4:latest,A,20,WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,481,519,0,543,0,0,0.672,348,195,133,324,,,,,,,,,0.6408839779005525,,,0.7234927234927235,,,0.6796875000000001,,,0.6718109631147542,
6/9/26 23:16,f8481d5,gemma4:latest,A,0,WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,486,514,0,493,0,0,0.649,314,179,172,335,,,,,,,,,0.6369168356997972,,,0.6460905349794238,,,0.6414708886618998,,,0.6488451407070519,
6/9/26 23:55,b898b63,gemma4:latest,C,0,NR_WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,328,310,362,259,296,445,0.64,169,90,159,582,188.0,108.0,122.0,582.0,283.0,162.0,79.0,476.0,0.6525096525096525,0.6351351351351351,0.6359550561797753,0.5152439024390244,0.6064516129032258,0.7817679558011049,0.5758091993185689,0.6204620462046204,0.701363073,0.6325447728778247,
6/22/26 10:01,2cc9b77,gemma4:latest,D,0,QBAF_relevanceScoreHumanLabeled.csv,1000,10,0,2,100,34,33,33,34,28,38,0.59,21,13,13,53,15.0,13.0,18.0,54.0,23.0,15.0,10.0,52.0,0.6176470588235294,0.5357142857142857,0.6052631578947368,0.6176470588235294,0.4545454545454545,0.696969697,0.6176470588235294,0.4918032786885246,0.6478873239436619,0.5857792204852387,
6/22/26 10:15,2cc9b77,gemma4:latest,D,0,QBAF_relevanceScoreHumanLabeled.csv,1000,10,0,2,100,34,33,33,22,30,48,0.53,11,11,23,55,18.0,12.0,15.0,55.0,24.0,24.0,9.0,43.0,0.5,0.6,0.5,0.3235294117647059,0.5454545454545454,0.7272727272727273,0.3928571428571429,0.5714285714285713,0.5925925925925926,0.5189594356261023,
6/29/26 13:10,f359ecd,claude-opus-4-8,B,0,QBAF_relevanceScoreHumanLabeled.csv,1000,20,0,2,100,34,33,33,52,48,0,0.44,22,30,12,36,22.0,26.0,11.0,41.0,,,,,0.4230769230769231,0.4583333333333333,,0.6470588235294118,0.6666666666666666,,0.5116279069767442,0.5432098765432098,,0.527418892,
6/29/26 13:25,f359ecd,claude-opus-4-8,B,0,WebDataset/data-00000-of-00001.arrow,1000,20,0,2,1000,484,516,0,478,522,0,0.734,348,130,136,386,386.0,136.0,130.0,348.0,,,,,0.7280334728033473,0.7394636015325671,,0.719008264,0.748062016,,0.7234927234927235,0.7437379576107901,,0.7336153405517568,
6/29/26 13:40,f359ecd,claude-opus-4-8,B,20,WebDataset/data-00000-of-00001.arrow,1000,20,0,2,1000,494,506,0,497,503,0,0.739,365,132,129,374,374.0,129.0,132.0,365.0,,,,,0.7344064386317908,0.7435387673956262,,0.7388663967611336,0.7391304347826086,,0.7366296670030273,0.7413280475718532,,0.7389788572874403,
2026-06-29 14:07:34,f359ecd,claude-opus-4-8,C,0,NR_WebDataset/data-00000-of-00001.arrow,1000,20,0,2,1000,319,327,354,263,360,377,0.672,185,78,134,603,228.0,132.0,99.0,541.0,259.0,118.0,95.0,528.0,0.7034220532319392,0.6333333333333333,0.6870026525198939,0.5799373040752351,0.6972477064220184,0.731638418079096,0.6357388316151202,0.6637554585152838,0.7086183310533516,0.6693708737279186,
2026-06-29 14:20:41,f359ecd,claude-opus-4-8,C,20,NR_WebDataset/data-00000-of-00001.arrow,1000,20,0,2,1000,336,307,357,265,330,405,0.717,199,66,137,598,212.0,118.0,95.0,575.0,306.0,99.0,51.0,544.0,0.7509433962264151,0.6424242424242425,0.7555555555555555,0.5922619047619048,0.6905537459283387,0.8571428571428571,0.6622296173044926,0.6656200941915228,0.8031496062992125,0.7103331059317427,
2026-06-29 14:52:19,a05ac6c,gpt-5.5,B,0,WebDataset/data-00000-of-00001.arrow,1000,20,0,2,1000,487,513,0,453,547,0,0.79,365,88,122,425,425.0,122.0,88.0,365.0,,,,,0.8057395143487859,0.7769652650822669,,0.7494866529774127,0.8284600389863548,,0.7765957446808511,0.8018867924528302,,0.7892412685668406,
2026-06-29 15:43:38,a05ac6c,gpt-5.5,B,20,WebDataset/data-00000-of-00001.arrow,1000,20,0,2,1000,491,509,0,441,559,0,0.778,355,86,136,423,423.0,136.0,86.0,355.0,,,,,0.8049886621315193,0.7567084078711985,,0.7230142566191446,0.831041257367387,,0.7618025751072962,0.7921348314606741,,0.7769687032839852,
2026-06-29 19:48:43,a05ac6c,gpt-5.5,C,0,NR_WebDataset/data-00000-of-00001.arrow,1000,20,0,2,1000,363,304,333,237,286,477,0.702,206,31,157,606,199.0,87.0,105.0,609.0,297.0,180.0,36.0,487.0,0.869198312236287,0.6958041958041958,0.6226415094339622,0.5674931129476584,0.6546052631578947,0.8918918918918919,0.6866666666666666,0.6745762711864407,0.7333333333333333,0.6981920903954802,
2026-06-29 20:27:05,a05ac6c,gpt-5.5,C,20,NR_WebDataset/data-00000-of-00001.arrow,1000,20,0,2,1000,323,318,359,254,322,424,0.721,195,59,128,618,221.0,101.0,97.0,581.0,305.0,119.0,54.0,522.0,0.7677165354330708,0.6863354037267081,0.7193396226415094,0.6037151702786377,0.6949685534591195,0.8495821727019499,0.6759098786828424,0.690625,0.7790549169859515,0.7151965985562647,
2026-07-02 11:57:12,b6b3e68,gemma4:latest,C,0,WebDataset/data-00000-of-00001.arrow,1000,10,0,2,1000,323,318,359,254,322,424,0.721,195,59,128,618,221.0,101.0,97.0,581.0,305.0,119.0,54.0,522.0,0.7677165354330708,0.6863354037267081,0.7193396226415094,0.6037151702786377,0.6949685534591195,0.8495821727019499,0.6759098786828424,0.690625,0.7790549169859515,0.7151965985562647,
