orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance,relevance human labeled
1688,"The UKIP party is a populist party at the right end of the spectrum, which exploits people's fears of the foreign and unknown.",The committee said the EU had helped to transform Europe from a continent of war to a continent of peace.,1,Support,C,0,0,1,,
2829,id is not science because it can never make a prediction that is meaningful,id is not science because it can never make a prediction that is meaningful,0,Attack,C,0,1,0,,
3098,my basic problem with science on these matters is that it is not true science,agreed  percent  this is my frustration with people who want to find every possible motive to discredit creationism they seem to want everyone to accept their viewpoints without question while they seemingly want to question and discredit anyone who does not see from their points of view,0,Attack,C,0,1,0,,
558,"I voted Tory for 30 years and started supporting UKIP because I want a sovereign, democratic , well governed Britain with Britain put first and its getting clearer by the day that the old Liblabcon parties will not do that.","Business for New Europe director Phillip Souta, which organised the letter, said reform of the EU was needed and claimed We are better off in, in many, many ways indeed.",0,Attack,C,1,0,0,,
2408,theism is a belief in gods,forgot that atheism isnt a religion and if i say otherwise people will apologetically insist im wrong,0,Attack,C,1,0,0,,
3315, i really like bananas so i mustve evolved from monkeys p, the one that suits its current environment surveys and grow up to breed,1,Support,C,0,0,1,,
377,"Any of the ""working class"" who believe UKIP will represent them have not read a UKIP manifesto!","When we recently became aware of possible issues relating to his past and raised the matter with him, he resigned his membership.",2,No Relation,C,0,0,1,,
1616,"UKIP is certainly NOT racist or xenophobic - if you, as I'm you have done, read our policies on the website there is no suggestion of this at all, it is more a rumour and conspiracy of the lefties. ","UKIP appears to have struck a chord with many voters on the issue of immigration, campaigning against the relaxation of working restrictions on Bulgarians and Romanians due to come into force in January.",1,Support,C,0,0,1,,
3424, go read on the origin of species, if you wanted to start an actual debate you should have said there is no convincing evidence,1,Support,C,1,0,0,,
2144,UKIP's sole aim at the general election is to get a smallish number of MPs elected but enough to hold the balance of power and do a deal with the Tories.,"According to the Daily Telegraph, Mr Farage suggested to Mr Murdoch at the meal that he would form an electoral pact with the Conservatives if David Cameron stood down as leader.",1,Support,C,0,1,0,,
2997,if the bible is the inspired word of the infinite creator god then it must be selfauthenticating and selfattestingand it is,i dont care how many times you say it,1,Support,C,1,0,0,,
3475,my understanding is that evolutionists believe that monkeys or apes came before man and that somehow monkeys or apes i am not sure which turned into man over millions of years is this correct,no perhaps some effort into educating yourself would be appropriate i presume that you expected a yes answer and your next question would have been why are there still monkeys,0,Attack,C,1,0,0,,
2377,the expansion of the universe is biblically supported,so if the bible can be used as a source for scientific discovery or guidance then what else in there can be demonstrated to be true scientifically  by what process did god stretch out the heavens where does god get the   energy   to do so,0,Attack,C,1,0,0,,
256,"The UKIP party is a populist party at the right end of the spectrum, which exploits people's fears of the foreign and unknown.","But, even if they declined, he said he would take on the Lib Dem leader in a head-to-head duel, adding it's on.",2,No Relation,C,0,0,1,,
1421,"UKIP's position is not reasonable, but racists and proto-fascist, considering they have nothing to say about the finance capital bombing of the economy, but to put all the blame for Europe's woes onto immigration.","He debated with journalist and historian Sir Max Hastings who said Britain can't stay in Europe on any terms, but said leaving could mean the UK could find a very tough time out there.",1,Support,C,0,0,1,,
868,"Much of UKIP's meteoric rise has to do with political correctness, and the fact that ordinary people are sick of it.","Around a dozen men, who accused the government of being complicit in their torture overseas, are in line for millions of pounds of compensation.",2,No Relation,C,0,0,1,,
3262,wow,the flu virus doesnt evolve it mutates,0,Attack,C,1,0,0,,
215,Hopefully we will see our first UKIP MP before the general elections next year.,It will be a very comfortable win for Labour who can secure over 50% of the vote.,0,Attack,C,1,0,0,,
2589,fxl wrote so why arent physicists saying gravity is as well established as the theory of   evolution  it  is obvious isnt it i hope not to be too snarky but the pope finally got around to admitting that  galileo was correct in teaching that the earth revolved around the sun get the gravity connection,it is obvious isnt it i hope not to be too snarky but the pope finally got around to admitting that galileo was correct in teaching that the earth revolved around the sun get the gravity connection,0,Attack,C,0,1,0,,
3872,We should create a United Nations standing army,A United Nations standing army is unnecessary,0,Attack,C,1,0,0,,
3274,i have no patience for people like you,why couldnt god have created everything through evolution,0,Attack,C,0,0,1,,
3894,The International Criminal Court should be recognised,The ICC allows for the prosecution of war criminals,1,Support,C,0,1,0,,
3138,it is only the closest science can come to explaining the origin of human existence and how things developed over timeyes,so would you say that the those in the bible lied about jesus doing miracles and god showing himself through signs or etc,1,Support,C,1,0,0,,
3020,andrew holt heres my take on your question,i apologise for the personal slant to the first part of my first question it was meant to be rhetorical,0,Attack,C,0,0,1,,
2547,icdesigni think behe has made the case for obvious design within the cell and i dont think you will findanyone who could put it any more clear,hi pvm they finally got things straightened out,0,Attack,C,0,0,1,,
1814,A vote for UKIP would be a vote for a Tory-UKIP alliance that would be more right-wing than a Tory government.,"He also suggested that his party might get its first seats in the UK Parliament at the general election in 2015, and argued it was not just taking votes from the right wing of British politics.",2,No Relation,C,0,0,1,,
3561,this is where the competition really occurs this is why natural selection the ability to go on to breed on the level of the population is actually nonrandom,wow supersport got something right,1,Support,C,0,0,1,,
1947,"UKIP will lead the UK to independence from the oppressive EU, which is the only chance Britain has at restoring its former glory.","Deputy Prime Minister Nick Clegg, whose Liberal Democrats oppose a referendum, said leaving altogether would make us less safe because we co-operate in the European Union to go after criminal gangs that cross borders.",0,Attack,C,1,0,0,,
1633,"UKIP is a not a real party, with a clear global ideology and vision addressing all aspects of society: it is focusing on a handful of issues (all centered around membership in the EU and migrants), mostly ignoring global financial issues, health, education, security etc.","I believe that what UKIP is doing is vital for this country, and of course the party's financial management is crucial.",0,Attack,C,1,0,0,,
3606,sadly policy needs no law for justification the va is a law unto themselves as anyone who has delt with them finds out,well then there is grounds for a lawsuit find a group of veterans and get them to sue the va funded by the nra and take the whole organizaton to court on charges of violating federal standards,1,Support,C,0,1,0,,
3038,it has been translated for about six thousand years,it has been translated for about six thousand years,0,Attack,C,0,1,0,,
1307,UKIP are not a single issue party anymore; UK Sovereignty is the crux of their party political platform but they've certainly expanded from that singular issue in recent years.,"Alluding to the comments, he will refer to public pronouncements that I would not always choose myself.",2,No Relation,C,0,0,1,,
2176,For what its worth I think UKIP is a one trick pony and is unelectable in a general election.,But after a strong showing from UKIP in the county council elections - which gained 139 more councillors - the Greens have lost their fourth position in terms of councillor number.,2,No Relation,C,1,0,0,,
2481,id has legal and educational merit because it is a bona fide scientific theory ,none of these promises have much relevance to id as a concept nor have few if any come to fruition,1,Support,C,1,0,0,,
1542,"Arguably, UKIP & co. aspire to destroy the culture created in Europe after WWII, which has been based on openness, free travel, migration and cross-geographic access to goods and labour markets.",Farage admitted the party had not had time to properly vet all of its new recruits and he was forced to suspend a handful of them following newspaper reports of alleged racist comments.,2,No Relation,C,0,0,1,,
